"","Reference","Gene.Symbol","Annotation","p.val_d1.d0","log2FC_d1.d0","d0","q.val_d1.d0","sig_d1.d0","p.val_d2.d0","log2FC_d2.d0","d1","q.val_d2.d0","sig_d2.d0","d2","p.val_anova","q.val_anova","anova_sig","p.val_d4.d0","log2FC_d4.d0","d4","q.val_d4.d0","sig_d4.d0","p.val_d6.d0","log2FC_d6.d0","d6","q.val_d6.d0","sig_d6.d0","p.val_d8.d0","log2FC_d8.d0","d8","q.val_d8.d0","sig_d8.d0","p.val_d10.d0","log2FC_d10.d0","d10","q.val_d10.d0","sig_d10.d0","p.val_d12.d0","log2FC_d12.d0","d12","q.val_d12.d0","sig_d12.d0","cluster","d0_1","d0_2","d1_1","d1_2","d2_1","d2_2","d4_1","d4_2","d6_1","d6_2","d8_1","d8_2","d10_1","d10_2","d12_1","d12_2","hotellingT2","ProtID","Compartment_ss"
"1","sp|Q15818|NPTX1_HUMAN","NPTX1","Neuronal pentraxin-1 OS=Homo sapiens OX=9606 GN=NPTX1 PE=1 SV=2",0.00102517879480562,3.88420760727452,12.2047096581852,0.018461909900242,"up",0.00809935177044636,1.76366383026965,16.0889172654597,0.0199531338188333,"up",13.9683734884548,9.41120674013915e-07,2.12594414080227e-06,"sig",0.0731262618233557,-0.411896726136215,11.792812932049,0.090986835558853,"n.s.",0.163205865188036,-0.86847008568148,11.3362395725037,0.185256657635316,"n.s.",0.000750567716711074,-2.26346186811582,9.94124779006935,0.00443820650544954,"down",0.0348634515604957,-1.81908591628043,10.3856237419047,0.0468285463073271,"down",0.0599073721126023,-1.21003782586866,10.9946718323165,0.074475011779328,"n.s.",1,12.1468014391689,12.2626178772014,16.1990871263136,15.9787474046058,13.8195475341765,14.1171994427332,11.6900510587178,11.8955748053801,11.7338535669854,10.938625578022,9.91896943542912,9.96352614470958,10.0416199121373,10.7296275716722,10.6898355758921,11.299508088741,8159.62404623058,"sp|Q15818|NPTX1_HUMAN_NPTX1","ER.Lumen"
"2","sp|Q96SQ9|CP2S1_HUMAN","CYP2S1","Cytochrome P450 2S1 OS=Homo sapiens OX=9606 GN=CYP2S1 PE=1 SV=2",0.00386518097281114,-0.753817274152397,22.7319789241267,0.0247532607717533,"down",0.00140105697220095,-1.81854118822505,21.9781616499743,0.00875681067737723,"down",20.9134377359016,1.93958331000926e-10,2.72202884984254e-09,"sig",0.000105967907756623,-3.26918912352867,19.462789800598,0.00377570672778767,"down",0.000261420782120927,-4.43958371091758,18.2923952132091,0.00358487143390657,"down",0.000343998852992411,-5.79824283779217,16.9337360863345,0.00357007212979519,"down",0.00102872678837479,-6.57440124273668,16.15757768139,0.00481762897372703,"down",0.00043184754331522,-7.25228008115107,15.4796988429756,0.00371844821908374,"down",1,22.7568718730802,22.7070859751731,22.0180300997451,21.9382932002034,20.9768689682009,20.8500065036023,19.4854407053539,19.4401388958421,18.3597371813928,18.2250532450253,17.0383851289867,16.8290870436822,15.9480223177038,16.3671330450761,15.3310101456935,15.6283875402577,7863.01373924774,"sp|Q96SQ9|CP2S1_HUMAN_CYP2S1","ER.Membrane.associated"
"3","sp|P11047|LAMC1_HUMAN","LAMC1","Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3",0.000686678312554105,3.06563710489038,20.3175044388176,0.0180316131059399,"up",0.016804583359493,1.26046858063318,23.383141543708,0.0319494091456441,"up",21.5779730194508,9.43512187193067e-08,3.0896450220773e-07,"sig",0.0110379482491818,0.819459437600905,21.1369638764185,0.0202394152877319,"up",0.0830185251250589,0.764436625151014,21.0819410639686,0.100222755160751,"n.s.",0.000548343268734064,3.47871664547146,23.7962210842891,0.00402680193891914,"up",0.00146430930023993,3.00552583308969,23.3230302719073,0.00547962913484402,"up",0.0032892927416569,2.02321514754394,22.3407195863616,0.00837582790916758,"up",5,20.3965838962545,20.2384249813807,23.3975146210474,23.3687684663686,21.4325988858632,21.7233471530384,21.1727846409505,21.1011431118866,21.3034052711188,20.8604768568185,23.776531981783,23.8159101867952,23.4067137666071,23.2393467772075,22.2554110063743,22.4260281663488,3526.37442738972,"sp|P11047|LAMC1_HUMAN_LAMC1","ER.Membrane.associated"
"4","sp|Q03519|TAP2_HUMAN","TAP2","Antigen peptide transporter 2 OS=Homo sapiens OX=9606 GN=TAP2 PE=1 SV=1",0.00112103585089242,-0.309595978037589,19.4281090382079,0.0186393973962987,"n.s.",0.00182168291585534,-0.904799866495555,19.1185130601703,0.00941112100522275,"down",18.5233091717124,7.91361394222381e-12,3.99690055744922e-10,"sig",0.000223033245978776,-2.33401267223017,17.0940963659778,0.00397903446300573,"down",0.00036167035449203,-3.23060486256768,16.1975041756402,0.00384755302497278,"down",9.50427701960773e-05,-3.60906627573222,15.8190427624757,0.00297026817872203,"down",0.00021750864162189,-3.65773148772868,15.7703775504793,0.00314361883091396,"down",0.000223567208134261,-3.86768994405851,15.5604190941494,0.00320702008284248,"down",1,19.43538713435,19.4208309420658,19.1111197397101,19.1259063806305,18.5612888821497,18.4853294612751,17.1281908700214,17.0600018619342,16.2585268112788,16.1364815400017,15.784616434367,15.8534690905844,15.7169170316825,15.823838069276,15.5030387948401,15.6177993934587,3445.24181839367,"sp|Q03519|TAP2_HUMAN_TAP2","ER.Membrane"
"5","sp|Q14573|ITPR3_HUMAN","ITPR3","Inositol 1,4,5-trisphosphate receptor type 3 OS=Homo sapiens OX=9606 GN=ITPR3 PE=1 SV=2",0.00840984902369418,-0.543872903834028,19.3965646446823,0.0333828957589163,"n.s.",0.00269535369757289,-1.09213611701442,18.8526917408482,0.0112758673805046,"down",18.3044285276679,4.24716559944842e-12,2.98510135018143e-10,"sig",0.000333817994243362,-2.11921664012151,17.2773480045608,0.00428930487777536,"down",0.000630721932724848,-3.0743241448837,16.3222404997986,0.00438588099797398,"down",6.8716018843968e-05,-3.70573189033558,15.6908327543467,0.0029313978838969,"down",5.87875258860237e-05,-4.02383739954543,15.3727272451368,0.00280117585905884,"down",0.000163755515636533,-4.48407984333496,14.9124848013473,0.00303140563742575,"down",1,19.4261703151313,19.3669589742332,18.8932238870798,18.8121595946166,18.352920410662,18.2559366446737,17.3023171523781,17.2523788567434,16.3935875223101,16.2508934772871,15.6826327077406,15.6990328009527,15.38141244929,15.3640420409837,14.8633224091424,14.9616471935522,3187.11769998437,"sp|Q14573|ITPR3_HUMAN_ITPR3","ER.Membrane"
"6","sp|P21964|COMT_HUMAN","COMT","Catechol O-methyltransferase OS=Homo sapiens OX=9606 GN=COMT PE=1 SV=2",0.0183496097314777,-0.404378743451861,16.7514743143352,0.0489445801504,"n.s.",0.000852939124086908,-0.864859158219812,16.3470955708834,0.00751589232966224,"down",15.8866151561154,2.8061396066937e-09,1.89308408665076e-08,"sig",0.00213135710598742,-1.34404376229654,15.4074305520387,0.00785650592487495,"down",0.000136460818573193,-2.24336885531698,14.5081054590183,0.00326895672375278,"down",0.00167753806791959,-3.23079133909234,13.5206829752429,0.00603006927117041,"down",0.000421521535980903,-3.76412407260629,12.987350241729,0.00360125244716975,"down",0.00176561709481131,-4.02826809130868,12.7232062230266,0.00601945464061491,"down",1,16.7262404011164,16.776708227554,16.3965776331909,16.2976135085759,15.8880467155566,15.8851835966742,15.4642266056755,15.3506344984019,14.5010232907447,14.5151876272918,13.6507505459528,13.390615404533,12.9142789705364,13.0604215129215,12.8908065719203,12.5556058741328,2851.25004135035,"sp|P21964|COMT_HUMAN_COMT","ER.Membrane"
"7","sp|P08572|CO4A2_HUMAN","COL4A2","Collagen alpha-2(IV) chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4",2.8671322798507e-05,2.79797488078848,15.5571558181646,0.0133027176531731,"up",0.0183577279408377,1.48543496206807,18.3551306989531,0.0338927134617749,"up",17.0425907802327,1.35406430770813e-06,2.90342346774636e-06,"sig",0.00136082873580403,0.984489627812414,16.541645445977,0.00643917045485814,"up",0.0592754730933318,0.866204789690554,16.4233606078552,0.0746339156556733,"n.s.",0.00124938533335865,3.0887103983442,18.6458662165088,0.00532224558138028,"up",0.0002848436115146,2.83724676517315,18.3944025833378,0.00329207623201031,"up",0.00769290757182436,2.04055748965216,17.5977133078168,0.0145461911545104,"up",5,15.5715692267689,15.5427424095604,18.3592198849879,18.3510415129183,16.8390170827694,17.246164477696,16.5082704101026,16.5750204818515,16.6437220252454,16.2029991904649,18.537542952495,18.7541894805226,18.3487274693475,18.440077697328,17.418275244161,17.7771513714726,2179.61865908554,"sp|P08572|CO4A2_HUMAN_COL4A2","ER.Lumen"
"8","sp|P84157-3|MXRA7-3_HUMAN","MXRA7","Isoform of P84157, Isoform 3 of Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7 PE=1 SV=1",0.00864087966298349,1.84941540097008,14.969785427405,0.0336467840194371,"up",0.0361537841315657,1.99944534828362,16.8192008283751,0.0559794260568117,"n.s.",16.9692307756886,1.64865654187337e-06,3.43685454653854e-06,"sig",0.0113379742545809,2.05923504726406,17.029020474669,0.0206047482511776,"up",0.00479321527302892,3.12201231505188,18.0917977424569,0.0110964350370149,"up",0.00350448356060173,4.04061133233532,19.0103967597403,0.00877389527408107,"up",0.00235126623073044,3.6993120378342,18.6690974652392,0.00692090451639928,"up",0.00187433523657082,4.15629906324012,19.1260844906451,0.006169292683123,"up",2,14.8024166949401,15.1371541598698,16.863132142976,16.7752695137741,17.3224397257379,16.6160218256393,17.1735749959209,16.8844659534172,17.9537939299568,18.2298015549569,19.1821698049359,18.8386237145447,18.7345070554236,18.6036878750547,19.1928510686412,19.059317912649,2097.40577079847,"sp|P84157-3|MXRA7-3_HUMAN_MXRA7","ER.Membrane"
"9","sp|O14975|S27A2_HUMAN","SLC27A2","Very long-chain acyl-CoA synthetase OS=Homo sapiens OX=9606 GN=SLC27A2 PE=1 SV=2",0.522046053423321,-0.0636333482582359,17.3160018773189,0.575742980306833,"n.s.",0.00794455967470662,-0.915906803138711,17.2523685290607,0.0197045783758696,"down",16.4000950741802,3.06332044323135e-10,3.79948425132497e-09,"sig",0.00455735009118309,-1.88869620743925,15.4273056698797,0.0115031508140957,"down",0.0012272776879371,-2.48441709098345,14.8315847863355,0.00558261150339392,"down",0.00110481474661459,-2.51923472443962,14.7967671528793,0.00506501080720839,"down",0.000680484261869055,-2.96809751405945,14.3479043632595,0.00415429765721142,"down",0.000631503821138827,-3.06624822944565,14.2497536478733,0.00407414218936206,"down",1,17.3930300877267,17.2389736669111,17.282448122112,17.2222889360094,16.3716082476963,16.4285819006642,15.5294591040155,15.3251522357439,14.8722761082335,14.7908934644374,14.76375129406,14.8297830116986,14.3396839314374,14.3561247950815,14.2528529566784,14.2466543390682,2008.32741587874,"sp|O14975|S27A2_HUMAN_SLC27A2","ER.Membrane"
"10","sp|Q9BV23|ABHD6_HUMAN","ABHD6","Monoacylglycerol lipase ABHD6 OS=Homo sapiens OX=9606 GN=ABHD6 PE=1 SV=1",0.0232334196904702,0.381482367356504,15.9397360605151,0.0556648774508021,"n.s.",0.00186991889780793,1.0504894252231,16.3212184278716,0.00948531368960838,"up",16.9902254857382,2.99843480925099e-11,8.22903775427772e-10,"sig",0.0030019612049798,0.891379571137229,16.8311156316523,0.00922681494059843,"up",0.00101625423341429,1.83334635344909,17.7730824139642,0.00527728215144403,"up",0.00064210325695526,2.7138719227375,18.6536079832526,0.00421230697452206,"up",0.000666274329083514,3.2627402318254,19.2024762923405,0.00413650116526773,"up",0.000176657397324389,3.6740476521701,19.6137837126852,0.00306052745464798,"up",7,15.983846763358,15.8956253576722,16.2817599732834,16.3606768824598,16.9791099034342,17.0013410680422,16.8098962887636,16.8523349745411,17.734673406676,17.8114914212524,18.6008068475994,18.7064091189058,19.1306839058607,19.2742686788203,19.5928192164801,19.6347482088903,1921.24163964913,"sp|Q9BV23|ABHD6_HUMAN_ABHD6","ER.Membrane"
