"","Reference","Gene.Symbol","Annotation","p.val_ATG12.WT","log2FC_ATG12.WT","WT","q.val_ATG12.WT","sig_ATG12.WT","p.val_TEXCCPG1.WT","log2FC_TEXCCPG1.WT","ATG12","q.val_TEXCCPG1.WT","sig_TEXCCPG1.WT","TEXCCPG1","p.val_TEXCCPG1.ATG12","log2FC_TEXCCPG1.ATG12","q.val_TEXCCPG1.ATG12","sig_TEXCCPG1.ATG12","p.val_anova","q.val_anova","anova_sig","cluster","WT_1","WT_2","WT_3","WT_4","ATG12_1","ATG12_2","ATG12_3","ATG12_4","TEXCCPG1_1","TEXCCPG1_2","Compartment_ss"
"1","sp|A1L0T0|ILVBL_HUMAN","ILVBL","ILVBL_HUMAN Acetolactate synthase-like protein",0.00107453076915567,0.307278003840988,18.5496693949767,0.00893234332939748,"n.s.",0.109340872493846,0.10075395763965,18.8569473988177,0.257646477062678,"n.s.",18.6504233526164,0.0515528935159231,-0.206524046201338,0.107134710642755,"n.s.",0.00178318713510536,0.00797421189345656,"sig",1,18.5476432202716,18.5768745594427,18.4792636661032,18.5948961340894,18.8920397508125,18.8249520725636,18.7486452027825,18.9621525691122,18.7009260532427,18.59992065199,"ER.Membrane"
"2","sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS_HUMAN Neuroblastoma-amplified sequence",0.000382801008314993,0.216095551274435,17.2426499535504,0.00500881954266126,"n.s.",0.0723810900106229,-0.11631261184602,17.4587455048249,0.198887150662523,"n.s.",17.1263373417044,0.00147006927065751,-0.332408163120455,0.0139265317284875,"n.s.",0.000191827734297317,0.00203152611851568,"sig",1,17.3137163928366,17.2138088998987,17.2232888384201,17.2197856830464,17.4273803221486,17.428063541114,17.5037133802607,17.4758247757763,17.0739397583498,17.1787349250591,"ER.Membrane.associated"
"3","sp|O00264|PGRC1_HUMAN","PGRMC1","PGRC1_HUMAN Membrane-associated progesterone receptor component 1",0.00911379148429113,0.369817331827463,18.9126986505798,0.0338160635268597,"n.s.",0.49498249540574,0.100753097514676,19.2825159824073,0.659532171949566,"n.s.",19.0134517480945,0.0254331943513322,-0.269064234312786,0.0671610140211901,"n.s.",0.0145702723985985,0.0332401140606402,"sig",6,18.6718031002752,18.9767246041326,18.9248872113204,19.077379686591,19.4128489480197,19.2519718979441,19.1995484870906,19.2656945965746,19.0720216283357,18.9548818678533,"ER.Membrane"
"4","sp|O00400|ACATN_HUMAN","SLC33A1","ACATN_HUMAN Acetyl-coenzyme A transporter 1",0.0862832851691155,0.124954376036365,14.5973213186187,0.164074251613397,"n.s.",0.805766940950007,-0.0192782511308316,14.722275694655,0.88878753120846,"n.s.",14.5780430674878,0.27223907119705,-0.144232627167197,0.373922367714693,"n.s.",0.196879898088604,0.255649245457137,"n.s.",0,14.5994001609204,14.6363883157162,14.5748112730819,14.5786855247561,14.762421331091,14.6314064128468,14.8722546861595,14.6230203485228,14.6928044028019,14.4632817321737,"ER.Membrane"
"5","sp|O00469-2|PLOD2_HUMAN","PLOD2","PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.274257815157168,0.036504905003202,15.7564172749962,0.392908784576281,"n.s.",0.00574047055561713,0.193722547315934,15.7929221799994,0.0537558458693067,"n.s.",15.9501398223121,0.0283111820866621,0.157217642312732,0.0716251184657959,"n.s.",0.00514913321278162,0.0161085470401125,"sig",8,15.7905882702412,15.7157893037562,15.7717675104031,15.7475240155842,15.7267742284573,15.7938888919072,15.7989191328024,15.8521064668306,15.9935173431237,15.9067623015005,"ER.Lumen"
"6","sp|O00767|ACOD_HUMAN","SCD","ACOD_HUMAN Acyl-CoA desaturase",0.26142086445694,-0.0959393267248139,17.7742192234006,0.377845586091182,"n.s.",0.0674052827959373,-0.209083434327241,17.6782798966758,0.19018056400953,"n.s.",17.5651357890734,0.236785251105245,-0.113144107602427,0.335570158156602,"n.s.",0.121071301659505,0.171384847741245,"n.s.",0,17.689985150638,17.898783190888,17.8366495199647,17.6714590321118,17.6305813411787,17.8111691998393,17.560673825925,17.7106952197602,17.5809881790681,17.5492833990786,"ER.Membrane"
"7","sp|O14656|TOR1A_HUMAN","TOR1A","TOR1A_HUMAN Torsin-1A",0.0155695081222152,0.13448669361097,16.3739037373077,0.0490514350302398,"n.s.",0.0324725974122589,-0.0634343945301374,16.5083904309187,0.127366746075363,"n.s.",16.3104693427776,0.0276686680440535,-0.197921088141108,0.0709737783331217,"n.s.",0.00661322191782115,0.0190500848022967,"sig",1,16.3608096233231,16.3982138618856,16.3481746027594,16.3884168612629,16.4740943380482,16.4197113522528,16.545448585549,16.5943074478248,16.3253493527547,16.2955893328005,"ER.Membrane.associated"
"8","sp|O14672|ADA10_HUMAN","ADAM10","ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10",7.76642178760037e-05,-0.218652920639336,16.9767999634535,0.00215801809895907,"n.s.",0.029474231845479,-0.119614413309659,16.7581470428142,0.12067843601634,"n.s.",16.8571855501439,0.040707832429032,0.0990385073296771,0.0907349883704336,"n.s.",0.000227592352720036,0.00221072285320436,"sig",5,16.9631152563216,16.9798567994339,17.0236590816361,16.9405687164226,16.7690558341421,16.794430760931,16.7272600167793,16.7418415594044,16.8973873483597,16.816983751928,"ER.Membrane"
"9","sp|O14735|CDIPT_HUMAN","CDIPT","CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase",0.890139971526686,0.0111251232112934,15.308683497093,0.924526733550944,"n.s.",0.0232584347142653,-0.121734698774212,15.3198086203043,0.107966438964692,"n.s.",15.1869487983188,0.304616203617761,-0.132859821985505,0.408966271198003,"n.s.",0.341546184563621,0.403556480853242,"n.s.",0,15.3518490943398,15.3051546663142,15.3219374961795,15.2557927315384,15.2551740015195,15.148504377088,15.3861979620851,15.4893581405244,15.2127664225042,15.1611311741333,"ER.Membrane"
"10","sp|O15173-2|PGRC2_HUMAN","PGRMC2","PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2",7.69005764090432e-05,0.143362611248513,17.1117016118138,0.00214887147411937,"n.s.",0.579098587770605,0.0228107206352739,17.2550642230624,0.723836647741576,"n.s.",17.1345123324491,0.0326609336019783,-0.120551890613239,0.0786470192772078,"n.s.",0.00186618346164483,0.00819728543631913,"sig",1,17.0827634965787,17.1343991752749,17.1102739886496,17.1193697867522,17.2383445651954,17.2507091520954,17.2457168654395,17.2854863095191,17.1902866462272,17.078738018671,"ER.Membrane"
"11","sp|O15270|SPTC2_HUMAN","SPTLC2","SPTC2_HUMAN Serine palmitoyltransferase 2",0.750602918535145,-0.020052198858032,16.1308391591687,0.824553868371827,"n.s.",0.646076881953304,-0.0241286124798918,16.1107869603107,0.773915296231785,"n.s.",16.1067105466889,0.965640514830362,-0.00407641362185984,0.976299670145334,"n.s.",0.924079272243637,0.934279656687863,"n.s.",0,16.12006689107,16.1919345451141,16.1364143980372,16.0749408024538,15.9581804679004,16.1065886170797,16.2110914976405,16.1672872586222,16.0536546539448,16.1597664394329,"ER.Membrane"
