"","Reference","Gene.Symbol","Annotation","p.val_ATG12d12.WTd12","log2FC_ATG12d12.WTd12","WTd12","q.val_ATG12d12.WTd12","sig_ATG12d12.WTd12","p.val_CAd12.WTd12","log2FC_CAd12.WTd12","ATG12d12","q.val_CAd12.WTd12","sig_CAd12.WTd12","CAd12","p.val_CAd12.ATG12d12","log2FC_CAd12.ATG12d12","q.val_CAd12.ATG12d12","sig_CAd12.ATG12d12","p.val_anova","q.val_anova","anova_sig","p.val_CABd12.WTd12","log2FC_CABd12.WTd12","CABd12","q.val_CABd12.WTd12","sig_CABd12.WTd12","p.val_CABd12.ATG12d12","log2FC_CABd12.ATG12d12","q.val_CABd12.ATG12d12","sig_CABd12.ATG12d12","p.val_CABd12.CAd12","log2FC_CABd12.CAd12","q.val_CABd12.CAd12","sig_CABd12.CAd12","p.val_CABTEXd12.WTd12","log2FC_CABTEXd12.WTd12","CABTEXd12","q.val_CABTEXd12.WTd12","sig_CABTEXd12.WTd12","p.val_CABTEXd12.ATG12d12","log2FC_CABTEXd12.ATG12d12","q.val_CABTEXd12.ATG12d12","sig_CABTEXd12.ATG12d12","p.val_CABTEXd12.CAd12","log2FC_CABTEXd12.CAd12","q.val_CABTEXd12.CAd12","sig_CABTEXd12.CAd12","p.val_CABTEXd12.CABd12","log2FC_CABTEXd12.CABd12","q.val_CABTEXd12.CABd12","sig_CABTEXd12.CABd12","p.val_CABTEXCCPG1d12.WTd12","log2FC_CABTEXCCPG1d12.WTd12","CABTEXCCPG1d12","q.val_CABTEXCCPG1d12.WTd12","sig_CABTEXCCPG1d12.WTd12","p.val_CABTEXCCPG1d12.ATG12d12","log2FC_CABTEXCCPG1d12.ATG12d12","q.val_CABTEXCCPG1d12.ATG12d12","sig_CABTEXCCPG1d12.ATG12d12","p.val_CABTEXCCPG1d12.CAd12","log2FC_CABTEXCCPG1d12.CAd12","q.val_CABTEXCCPG1d12.CAd12","sig_CABTEXCCPG1d12.CAd12","p.val_CABTEXCCPG1d12.CABd12","log2FC_CABTEXCCPG1d12.CABd12","q.val_CABTEXCCPG1d12.CABd12","sig_CABTEXCCPG1d12.CABd12","p.val_CABTEXCCPG1d12.CABTEXd12","log2FC_CABTEXCCPG1d12.CABTEXd12","q.val_CABTEXCCPG1d12.CABTEXd12","sig_CABTEXCCPG1d12.CABTEXd12","cluster","WTd12_1","WTd12_2","WTd12_3","ATG12d12_1","ATG12d12_2","ATG12d12_3","CAd12_1","CAd12_2","CAd12_3","CABd12_1","CABd12_2","CABd12_3","CABTEXd12_1","CABTEXd12_2","CABTEXd12_3","CABTEXCCPG1d12_1","CABTEXCCPG1d12_2","CABTEXCCPG1d12_3","coeff_(Intercept)","coeff_FAM134AC","coeff_FAM134ABC","coeff_FAM134ABCTEX","coeff_FAM134ABCTEXCCPG1","p.value_(Intercept)","p.value_FAM134AC","p.value_FAM134ABC","p.value_FAM134ABCTEX","p.value_FAM134ABCTEXCCPG1","q.value_FAM134AC","q.value_FAM134ABC","q.value_FAM134ABCTEX","q.value_FAM134ABCTEXCCPG1","Compartment_ss"
"1","sp|A1L0T0|ILVBL_HUMAN","ILVBL","ILVBL_HUMAN Acetolactate synthase-like protein",0.000487551871566568,1.34560724471115,16.4805644298476,0.00614947747630719,"up",0.0077099457590099,0.602119665301526,17.8261716745588,0.0926713164842093,"n.s.",17.0826840951492,0.000519769767459743,-0.743487579409628,0.00524028750504145,"down",3.64398083288501e-07,1.08760200205266e-05,"sig",0.00256352649039723,0.888749824783552,17.3693142546312,0.0749726389491603,"n.s.",0.00709402674181095,-0.456857419927601,0.0296386735751834,"n.s.",0.0208902344658561,0.286630159482026,0.279077127853555,"n.s.",0.00832908449375026,0.670231003559323,17.150795433407,0.165141502992024,"n.s.",0.00234573646130625,-0.675376241151831,0.0167194201616559,"down",0.477376928792509,0.0681113382577969,0.783371122397941,"n.s.",0.0982512944650791,-0.218518821224229,0.594139472748207,"n.s.",0.000849570432988086,1.20778539906558,17.6883498289132,0.0153596822566347,"up",0.212314005036737,-0.137821845645572,0.310313002755512,"n.s.",0.00170769077252242,0.605665733764056,0.0162136498701381,"up",0.0299154124580268,0.319035574282029,0.13852536229604,"n.s.",0.00674802460155155,0.537554395506259,0.0624448603380396,"n.s.",4,16.5534608588412,16.2559628949964,16.6322695357053,17.7066624554908,17.8664281468769,17.9054244213087,17.1473758528785,17.0091445699028,17.0915318626662,17.2511651250554,17.3761601441254,17.4806174947127,17.0158357350534,17.2831052900168,17.1534452751507,17.5498620508128,17.7787427408539,17.736444695073,9.17306727455842e-16,0.602119665301535,0.286630159481999,-0.218518821224201,0.537554395506267,0.999999999999991,0.000264347043504598,0.0258230178776263,0.0741842964486271,0.000619375156228202,0.0133978409884509,0.35089153216822,0.464612629659135,0.00820706113604358,"ER.Membrane"
"2","sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS_HUMAN Neuroblastoma-amplified sequence",0.000250495435643934,0.408462398726829,20.128694393092,0.00449484010147781,"n.s.",0.00177874762371043,0.280256876115327,20.5371567918189,0.0615678899770235,"n.s.",20.4089512692074,0.00689141255936793,-0.128205522611502,0.0222769194953896,"n.s.",4.90219616432593e-05,0.000295258148598611,"sig",0.00635803447263784,0.295512792001944,20.424207185094,0.0934941215500818,"n.s.",0.081491970997527,-0.112949606724886,0.149295801696806,"n.s.",0.784091323715303,0.0152559158866161,0.897593077786455,"n.s.",0.00751834335599558,0.293904824724251,20.4225992178163,0.16130993627508,"n.s.",0.0903019423042684,-0.114557574002578,0.15590790668741,"n.s.",0.815136898184066,0.0136479486089236,0.938360414811698,"n.s.",0.982483868846873,-0.00160796727769252,0.996030813061678,"n.s.",0.00119013541098612,0.335649520081493,20.4643439131735,0.016807096961144,"n.s.",0.0677387556931683,-0.0728128786453368,0.134828972622685,"n.s.",0.183619705125886,0.0553926439661652,0.279435914430988,"n.s.",0.500338392259155,0.040136728079549,0.676990267147596,"n.s.",0.502641501254196,0.0417446953572416,0.638925914202309,"n.s.",2,20.0672895702962,20.153461981601,20.1653316273789,20.5397264469573,20.5149661470682,20.5567777814311,20.3683399951031,20.4150134921341,20.4435003203849,20.3762926036734,20.3776566802869,20.5186722713217,20.3329813288592,20.5061478899395,20.4286684346502,20.517632559795,20.4368082057384,20.4385909739872,1.26129675025178e-15,0.280256876115332,0.0152559158866339,-0.00160796727770083,0.0417446953572345,0.999999999999974,0.000327815745086728,0.777193962927234,0.976156888325048,0.444773303322536,0.0142187131448049,0.917429471980117,0.992376641083997,0.58548869994139,"ER.Membrane.associated"
"3","sp|O00264|PGRC1_HUMAN","PGRMC1","PGRC1_HUMAN Membrane-associated progesterone receptor component 1",0.024465730684813,0.203943695102144,20.5936883865963,0.0537942707143462,"n.s.",0.00150459603314863,0.342583805027424,20.7976320816984,0.0598322179916228,"n.s.",20.9362721916237,0.0919288413553354,0.13864010992528,0.147836485604512,"n.s.",2.85409386593795e-05,0.000207067772776653,"sig",0.000729846682000201,0.436905711718875,21.0305940983152,0.0603294741200642,"n.s.",0.0226031402802863,0.232962016616732,0.0605891207755333,"n.s.",0.147760058793788,0.0943219066914516,0.450139938056877,"n.s.",0.00256551274335114,0.297602498253045,20.8912908848493,0.127236419753563,"n.s.",0.210444634287402,0.0936588031509018,0.296026761576935,"n.s.",0.423725596315366,-0.0449813067743783,0.758505206456534,"n.s.",0.0573941251773472,-0.13930321346583,0.524636311140484,"n.s.",0.00041255226965779,0.378790121625151,20.9724785082214,0.0116799243614445,"n.s.",0.036678131248182,0.174846426523008,0.0878904822318321,"n.s.",0.442849638992274,0.0362063165977276,0.548354995581109,"n.s.",0.267124839341546,-0.058115590093724,0.466011791559886,"n.s.",0.129454139264159,0.0811876233721058,0.263789971669809,"n.s.",2,20.5778499896773,20.5583332764397,20.6448818936719,20.6958999302074,20.8326295708452,20.8643667440427,21.000178861461,20.8767308764459,20.9319068369643,21.0847630559657,20.9556058835427,21.0514133554372,20.9032147466925,20.9464123952743,20.8242455125812,20.9262827121873,20.9925447385284,20.9986080739487,-1.03197006838782e-15,0.342583805027432,0.094321906691467,-0.139303213465867,0.0811876233721343,0.999999999999975,2.16656245351288e-05,0.0671479974520123,0.0126264196439362,0.107624507146977,0.00429763707197325,0.415008236540334,0.277566041704133,0.215570815145889,"ER.Membrane"
"4","sp|O00469-2|PLOD2_HUMAN","PLOD2","PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.000377494431623486,0.586436800511891,17.4929923660004,0.0053827672424495,"up",0.0218188538660384,0.193762802535879,18.0794291665123,0.138474542350949,"n.s.",17.6867551685363,0.000534383330985206,-0.392673997976011,0.00532528446695835,"n.s.",4.58535583462379e-05,0.000282092962519865,"sig",0.148995782620493,0.161600014961728,17.6545923809622,0.357317252752168,"n.s.",0.00688807427632945,-0.424836785550163,0.0292452111352044,"n.s.",0.718450026422236,-0.0321627875741513,0.862415112187802,"n.s.",0.0140700539355318,0.284207784637115,17.7772001506376,0.187933292978281,"n.s.",0.00636252970519713,-0.302229015874776,0.0275770608142584,"n.s.",0.193345390615742,0.0904449821012356,0.593523095734372,"n.s.",0.259839771186911,0.122607769675387,0.713739005472152,"n.s.",0.00430519923453335,0.368785752231748,17.8617781182322,0.0301527397525159,"n.s.",0.0136310235051726,-0.217651048280143,0.0469340038336295,"n.s.",0.0280560945228048,0.175022949695869,0.0747019531907081,"n.s.",0.0825161796474915,0.20718573727002,0.235727066940107,"n.s.",0.277219107883822,0.0845779675946332,0.432881119251894,"n.s.",4,17.4454664267294,17.5837479767462,17.4497626945257,18.0483458684763,18.1336837601097,18.056257870951,17.7144236131804,17.6315750074522,17.7142668849763,17.5615652087838,17.5918153860194,17.8103965480833,17.7061087028503,17.8758790415008,17.7496127075616,17.7745481086996,17.9155791509162,17.8952070950808,1.1466334093198e-16,0.193762802535867,-0.0321627875741323,0.122607769675399,0.0845779675946344,0.999999999999998,0.0248538016969061,0.670872919869031,0.126129395190722,0.276455973964607,0.127962058437786,0.870762798610392,0.541290891003669,0.418676982424671,"ER.Lumen"
"5","sp|O00767|ACOD_HUMAN","SCD","ACOD_HUMAN Acyl-CoA desaturase",0.737392930775902,0.0455667240805226,18.6499088673681,0.787972701107393,"n.s.",0.371795027652524,0.128176855166288,18.6954755914486,0.589324279660358,"n.s.",18.7780857225344,0.602669097783772,0.0826101310857652,0.671376938384767,"n.s.",0.524673187228791,0.544450025095074,"n.s.",0.375497438846162,0.171406295223072,18.8213151625912,0.583322354754834,"n.s.",0.53670125104189,0.125839571142549,0.628915810015852,"n.s.",0.828509095909674,0.0432294400567841,0.921941923078521,"n.s.",0.525696674745781,0.078606683741711,18.7285155511098,0.752726882505422,"n.s.",0.817484640655182,0.0330399596611883,0.862248932559499,"n.s.",0.731773528294784,-0.0495701714245769,0.912484509222183,"n.s.",0.628751750915461,-0.092799611481361,0.893832658870388,"n.s.",0.469894328199521,-0.16190714523184,18.4880017221362,0.580531332933384,"n.s.",0.389960662747895,-0.207473869312363,0.496635579997266,"n.s.",0.250155965119275,-0.290084000398128,0.354868309106849,"n.s.",0.244970799533351,-0.333313440454912,0.444189158011,"n.s.",0.311318311269302,-0.240513828973551,0.467947668572083,"n.s.",0,18.6261001782917,18.5355875497875,18.7880388740251,18.8856728239571,18.5317754404126,18.6689785099762,18.6428319444157,18.7088605163628,18.9825647068247,19.128644254696,18.627627185427,18.7076740476505,18.5817391863105,18.8789511681567,18.7248562988622,18.8650705772012,18.2730344322666,18.3259001569409,1.43329176164975e-17,0.1281768551663,0.0432294400567651,-0.0927996114813657,-0.240513828973567,1,0.499225373860202,0.817850091920179,0.622741183224671,0.217680035134867,0.694469261422048,0.933619295439095,0.870836197612398,0.357016575578921,"ER.Membrane"
"6","sp|O14656|TOR1A_HUMAN","TOR1A","TOR1A_HUMAN Torsin-1A",0.00745658648484177,0.35277907730794,17.8261809652406,0.0234633402490141,"n.s.",0.0231264719003741,0.243775396279069,18.1789600425486,0.141249834495804,"n.s.",18.0699563615197,0.0420710165596279,-0.10900368102887,0.0807276126155304,"n.s.",0.00558099385397037,0.0108646470602478,"sig",0.0712726943905108,0.226085675862691,18.0522666411033,0.246787160290238,"n.s.",0.157612515415184,-0.126693401445248,0.245839396081673,"n.s.",0.814663439120063,-0.017689720416378,0.914709159001536,"n.s.",0.13330286148082,0.167682912190909,17.9938638774315,0.406731196208738,"n.s.",0.0539802591940662,-0.185096165117031,0.106043330948526,"n.s.",0.313287087270342,-0.0760924840881607,0.693045550079132,"n.s.",0.556793591830018,-0.0584027636717828,0.861003061413641,"n.s.",0.0189250339696541,0.25476238945501,18.0809433546956,0.0638137750576312,"n.s.",0.0476514080840713,-0.0980166878529296,0.106001539814923,"n.s.",0.728595024281681,0.0109869931759405,0.794771015269451,"n.s.",0.701067641703309,0.0286767135923185,0.822482352953736,"n.s.",0.250035319068344,0.0870794772641013,0.403460703159608,"n.s.",6,17.7465858377841,17.9531138232308,17.7788432347069,18.1207155904616,18.2052944386777,18.2108700985063,18.095504931597,18.0246071171638,18.0897570357983,18.0229286184662,17.9538667103273,18.1800045945164,17.8989011315727,18.110354104696,17.9723363960259,18.1159595334411,18.0514662374746,18.0754042931711,1.34729425595077e-15,0.243775396279099,-0.0176897204163992,-0.0584027636717674,0.087079477264067,0.99999999999998,0.0074696949469826,0.813302188198648,0.44197978938693,0.260152626535199,0.0652678128048668,0.932636241317223,0.779150921115147,0.402169278302747,"ER.Membrane.associated"
"7","sp|O14657|TOR1B_HUMAN","TOR1B","TOR1B_HUMAN Torsin-1B",0.131094352487019,0.0788633660513298,16.4311730759044,0.192960901158261,"n.s.",0.183918627556052,0.086574057985505,16.5100364419557,0.394609292757433,"n.s.",16.5177471338899,0.906635238455703,0.00771069193417517,0.925360394895791,"n.s.",0.045540754846608,0.0618250869106506,"n.s.",0.00301986259431354,0.154954927003324,16.5861280029077,0.077503151524104,"n.s.",0.119230496956034,0.0760915609519941,0.199290453603529,"n.s.",0.255578161019984,0.0683808690178189,0.54738214308685,"n.s.",0.0873972846007772,0.105361613933624,16.536534689838,0.347800811127449,"n.s.",0.658326582004863,0.0264982478822944,0.727198783969827,"n.s.",0.787914942320787,0.0187875559481192,0.928526033473813,"n.s.",0.32275352634152,-0.0495933130696997,0.750146881385129,"n.s.",0.00330401007536719,0.158637159153272,16.5898102350577,0.0266665016658484,"n.s.",0.111849842311661,0.0797737931019427,0.191792576591866,"n.s.",0.239130507716925,0.0720631011677675,0.342288184004117,"n.s.",0.860939276591522,0.00368223214994856,0.918528207143919,"n.s.",0.298836046942323,0.0532755452196483,0.454511232849461,"n.s.",0,16.4206568313848,16.4705978412287,16.4022645550998,16.461073831535,16.4881366386385,16.5808988556937,16.4293719905113,16.6022894111014,16.521580000057,16.5662636529823,16.5819327178689,16.610187637872,16.4663501764965,16.6118609891471,16.5313929038705,16.6122966594316,16.5614948119106,16.5956392338308,1.20396507978579e-15,0.0865740579854659,0.0683808690178332,-0.0495933130696985,0.0532755452196317,0.999999999999971,0.0835218000129736,0.159934889035229,0.296672215045957,0.264247281449546,0.245894149560157,0.519809943931748,0.691548854721115,0.40612909095256,"ER.Lumen"
"8","sp|O14672|ADA10_HUMAN","ADAM10","ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10",0.00327999942183075,0.362012655639184,19.1389946399746,0.0144766592344199,"n.s.",0.016752034969447,0.193740875809173,19.5010072956138,0.124076190209823,"n.s.",19.3327355157838,0.00725448375694131,-0.168271779830011,0.0230438791204421,"n.s.",0.00204855465475866,0.00484722763482729,"sig",0.0313503212409182,0.168701604083104,19.3076962440577,0.164426446646778,"n.s.",0.00671349695152418,-0.19331105155608,0.0288829268583543,"n.s.",0.318569473853735,-0.0250392717260688,0.597962440181871,"n.s.",0.114173149678249,0.193188921986941,19.3321835619615,0.382416621894535,"n.s.",0.130439815261358,-0.168823733652243,0.204664532559071,"n.s.",0.995046853374049,-0.00055195382223161,0.99952307214131,"n.s.",0.788338541463769,0.0244873179038372,0.939008734275765,"n.s.",0.00834336039947464,0.279033585084409,19.418028225059,0.0411637641967534,"n.s.",0.138822817318466,-0.0829790705547744,0.225474882977649,"n.s.",0.062006118698925,0.0852927092752367,0.126895753440536,"n.s.",0.0417924920002373,0.110331981001305,0.164080608558168,"n.s.",0.388707561803906,0.0858446630974683,0.539856689729498,"n.s.",4,19.1855352567165,19.0429974178696,19.1884512453377,19.4375184870809,19.5275112688214,19.5379921309391,19.3313306466684,19.3165587198864,19.3503171807965,19.3293347286552,19.3254115875973,19.2683424159206,19.1907905011652,19.4782073484563,19.327552836263,19.48028385298,19.3974908153102,19.3763100068868,1.34729425595077e-15,0.193740875809168,-0.0250392717260664,0.0244873179037993,0.0858446630975003,0.999999999999977,0.0142003819475546,0.709721650166598,0.715796989501034,0.218467526985585,0.0956163038821265,0.885107600834505,0.905837745142501,0.357353528866398,"ER.Membrane"
"9","sp|O15173-2|PGRC2_HUMAN","PGRMC2","PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2",0.00893694948160087,0.280190002206233,18.2504740720017,0.0264121904042018,"n.s.",0.000126044121401325,0.375564214712288,18.5306640742079,0.0270235482178493,"n.s.",18.626038286714,0.185624897342824,0.095374212506055,0.257805230610432,"n.s.",0.00181062408772886,0.00441595979972383,"sig",0.0116299855104036,0.413638101722267,18.6641121737239,0.114758073064195,"n.s.",0.285248734847505,0.133448099516034,0.384047481553284,"n.s.",0.707281633339382,0.038073887009979,0.856276207442746,"n.s.",0.00333800624362522,0.359970526581662,18.6104445985833,0.139243406608234,"n.s.",0.369231914483854,0.0797805243754297,0.462038026654868,"n.s.",0.80271332225312,-0.0155936881306253,0.93290889472123,"n.s.",0.643968328869448,-0.0536675751406044,0.89700028474919,"n.s.",0.00361236518711562,0.281494573617582,18.5319686456192,0.0277937850142797,"n.s.",0.986203637688366,0.00130457141134954,0.99097028860386,"n.s.",0.116182134897565,-0.0940696410947055,0.198712650013452,"n.s.",0.264134310157494,-0.132143528104685,0.462926091842887,"n.s.",0.323802793887285,-0.0784759529640802,0.480365906581309,"n.s.",2,18.2189703003218,18.2759593854038,18.2564925302794,18.4204334882891,18.5642454145754,18.6073133197592,18.5942647309368,18.6226062645878,18.6612438646173,18.7837746060453,18.7261552029179,18.4824067122086,18.5277541770982,18.5887115554766,18.7148680631752,18.6176176770472,18.4863325457273,18.4919557140832,1.31862842071777e-15,0.375564214712301,0.038073887009966,-0.0536675751406008,-0.0784759529640991,0.999999999999981,0.00053101642786993,0.62267118661766,0.490586021062201,0.319987393186186,0.0174444805780357,0.841356507580122,0.807905796499319,0.465414145832007,"ER.Membrane"
"10","sp|O15269|SPTC1_HUMAN","SPTLC1","SPTC1_HUMAN Serine palmitoyltransferase 1",0.0378865949118274,0.226767368134965,16.7320196588234,0.0741617794556518,"n.s.",0.0329561646376825,0.214602260668791,16.9587870269584,0.163674708848298,"n.s.",16.9466219194922,0.752282739505218,-0.0121651074661742,0.798602771959509,"n.s.",0.00783565229117607,0.0143111625760377,"sig",0.0179811323566799,0.261058131295545,16.993077790119,0.132020337681607,"n.s.",0.402025253927287,0.0342907631605804,0.50127705487402,"n.s.",0.0625554103738993,0.0464558706267546,0.340251144073826,"n.s.",0.0138178442350541,0.330627532612844,17.0626471914363,0.186370878955573,"n.s.",0.131844007162506,0.103860164477879,0.20633109873332,"n.s.",0.0608184336380061,0.116025271944054,0.441029852187862,"n.s.",0.199759344187016,0.0695694013172989,0.684707578892286,"n.s.",0.0983431648288185,0.218142383251735,16.9501620420752,0.184269827808566,"n.s.",0.92349423585334,-0.00862498488323027,0.945288072658707,"n.s.",0.966037395038128,0.00354012258294389,0.974604995763868,"n.s.",0.613382015693681,-0.0429157480438107,0.762175814738197,"n.s.",0.272643064678973,-0.11248514936111,0.427173866151125,"n.s.",2,16.8022865256213,16.600036371396,16.7937360794529,16.8937574422893,16.9743397705616,17.0082638680243,16.9241670010523,16.9646438696943,16.9510548877301,17.0155654193222,16.9682930361464,16.9953749148883,16.976977896292,17.0954098609426,17.1155538170743,17.1043566242165,16.8809967721059,16.865132729903,2.00660846630965e-16,0.214602260668832,0.0464558706267332,0.0695694013173333,-0.112485149361167,0.999999999999997,0.0126322497429902,0.526402616169925,0.348823043096567,0.143080536359912,0.088867950642343,0.789511248712434,0.725691555151554,0.265180619032865,"ER.Membrane"
