"","Reference","Gene.Symbol","Annotation","p.val_ATG12kod12.WTd12","log2FC_ATG12kod12.WTd12","WTd12","q.val_ATG12kod12.WTd12","sig_ATG12kod12.WTd12","p.val_Ckod12.WTd12","log2FC_Ckod12.WTd12","ATG12kod12","q.val_Ckod12.WTd12","sig_Ckod12.WTd12","Ckod12","p.val_Ckod12.ATG12kod12","log2FC_Ckod12.ATG12kod12","q.val_Ckod12.ATG12kod12","sig_Ckod12.ATG12kod12","p.val_anova","q.val_anova","anova_sig","p.val_CAkod12.WTd12","log2FC_CAkod12.WTd12","CAkod12","q.val_CAkod12.WTd12","sig_CAkod12.WTd12","p.val_CAkod12.ATG12kod12","log2FC_CAkod12.ATG12kod12","q.val_CAkod12.ATG12kod12","sig_CAkod12.ATG12kod12","p.val_CAkod12.Ckod12","log2FC_CAkod12.Ckod12","q.val_CAkod12.Ckod12","sig_CAkod12.Ckod12","p.val_CBkod12.WTd12","log2FC_CBkod12.WTd12","CBkod12","q.val_CBkod12.WTd12","sig_CBkod12.WTd12","p.val_CBkod12.ATG12kod12","log2FC_CBkod12.ATG12kod12","q.val_CBkod12.ATG12kod12","sig_CBkod12.ATG12kod12","p.val_CBkod12.Ckod12","log2FC_CBkod12.Ckod12","q.val_CBkod12.Ckod12","sig_CBkod12.Ckod12","p.val_CBkod12.CAkod12","log2FC_CBkod12.CAkod12","q.val_CBkod12.CAkod12","sig_CBkod12.CAkod12","cluster","WTd12_1","WTd12_2","WTd12_3","ATG12kod12_1","ATG12kod12_2","ATG12kod12_3","Ckod12_1","Ckod12_2","Ckod12_3","CAkod12_1","CAkod12_2","CAkod12_3","CBkod12_1","CBkod12_2","CBkod12_3","coeff_(Intercept)","coeff_FAM134AC","coeff_FAM134ABC","coeff_FAM134ABCTEX","coeff_FAM134ABCTEXCCPG1","p.value_(Intercept)","p.value_FAM134AC","p.value_FAM134ABC","p.value_FAM134ABCTEX","p.value_FAM134ABCTEXCCPG1","q.value_FAM134AC","q.value_FAM134ABC","q.value_FAM134ABCTEX","q.value_FAM134ABCTEXCCPG1","Compartment_ss"
"1","sp|A1L0T0|ILVBL_HUMAN","ILVBL","ILVBL_HUMAN Acetolactate synthase-like protein",0.0233944979787369,0.167393022788428,15.085538151014,0.132393300458447,"n.s.",0.231448875615851,-0.0785153081114878,15.2529311738024,0.517768430680406,"n.s.",15.0070228429025,0.00313992357396374,-0.245908330899915,0.0804795945171289,"n.s.",0.0017529033085504,0.0125386530433758,"sig",0.229456115650463,0.0779571137488784,15.1634952647628,0.465256640028588,"n.s.",0.0766332027189544,-0.0894359090395493,0.20414899614333,"n.s.",0.031502585906544,0.156472421860366,0.419610431553064,"n.s.",0.0468941278420298,0.153479916676723,15.2390180676907,0.299608305389137,"n.s.",0.720855789453088,-0.0139131061117048,0.802978600909769,"n.s.",0.00790051405480383,0.231995224788211,0.117506237209477,"n.s.",0.178168588927141,0.0755228029278445,0.378750840236915,"n.s.",1,15.1157052456382,15.141344037962,14.9995651694416,15.287199637582,15.2325729609188,15.2390209229064,15.0306758783229,14.9388076464985,15.051585003886,15.1417526160017,15.2293064127211,15.1194267655657,15.2158275657779,15.3021296136146,15.1990970236796,9.17306727455842e-16,0.602119665301535,0.286630159481999,-0.218518821224201,0.537554395506267,0.999999999999991,0.000264347043504598,0.0258230178776263,0.0741842964486271,0.000619375156228202,0.0133978409884509,0.35089153216822,0.464612629659135,0.00820706113604358,"ER.Membrane"
"2","sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS_HUMAN Neuroblastoma-amplified sequence",0.00798022301244207,0.221178081899456,17.3974943327903,0.0879657150432028,"n.s.",0.0529673220088907,-0.0997344243916238,17.6186724146898,0.290111473243717,"n.s.",17.2977599083987,0.00137111055393015,-0.32091250629108,0.0702905534924959,"n.s.",0.000182558675013149,0.00339985993277118,"sig",0.0510010185989436,0.122839843398815,17.5203341761892,0.224779113691504,"n.s.",0.108518652362618,-0.0983382385006415,0.248796562950337,"n.s.",0.00508488089701955,0.222574267790439,0.277702935572214,"n.s.",0.0370039793984463,0.133137303605839,17.5306316363962,0.282547415424221,"n.s.",0.131485439529831,-0.0880407782936174,0.251811070263877,"n.s.",0.00376700464365509,0.232871727997463,0.0992067635032267,"n.s.",0.834093411352413,0.010297460207024,0.910861057278333,"n.s.",1,17.4090104163937,17.4417415766642,17.3417310053131,17.5543828172187,17.6311958440712,17.6704385827795,17.2869334709982,17.266506251631,17.3398400025669,17.5664712420165,17.5392024956396,17.4553287909114,17.5307158235914,17.5854794013992,17.475699684198,1.26129675025178e-15,0.280256876115332,0.0152559158866339,-0.00160796727770083,0.0417446953572345,0.999999999999974,0.000327815745086728,0.777193962927234,0.976156888325048,0.444773303322536,0.0142187131448049,0.917429471980117,0.992376641083997,0.58548869994139,"ER.Membrane.associated"
"3","sp|O00264|PGRC1_HUMAN","PGRMC1","PGRC1_HUMAN Membrane-associated progesterone receptor component 1",0.0478240862702853,0.303852849730561,17.5778690754233,0.179583609880287,"n.s.",0.251522509729778,-0.115127794112805,17.8817219251538,0.537232545053895,"n.s.",17.4627412813105,0.00446581112159242,-0.418980643843366,0.0905313896538725,"n.s.",0.000927789984916758,0.00876789475091017,"sig",0.139580756124739,0.165458821944966,17.7433278973682,0.362155475350675,"n.s.",0.147495496440911,-0.138394027785594,0.30044069338396,"n.s.",0.00254579570974096,0.280586616057771,0.252333919217615,"n.s.",0.396913275062481,-0.0793763086497599,17.4984927667735,0.6757119444945,"n.s.",0.00539535489880963,-0.38322915838032,0.0519727007823982,"n.s.",0.23920902944537,0.0357514854630452,0.431942899325254,"n.s.",0.00268942404827838,-0.244835130594726,0.0758172706699599,"n.s.",5,17.4878279589684,17.7433933015676,17.5023859657338,17.749882697334,17.9131485219243,17.9821345562032,17.4474283405018,17.5077051453393,17.4330903580904,17.7741428379005,17.6736816139902,17.7821592402141,17.5168112241236,17.5030832068266,17.4755838693703,-1.03197006838782e-15,0.342583805027432,0.094321906691467,-0.139303213465867,0.0811876233721343,0.999999999999975,2.16656245351288e-05,0.0671479974520123,0.0126264196439362,0.107624507146977,0.00429763707197325,0.415008236540334,0.277566041704133,0.215570815145889,"ER.Membrane"
"4","sp|O00469-2|PLOD2_HUMAN","PLOD2","PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.056762698685696,0.24651648296004,16.7333827521329,0.19423300154064,"n.s.",0.0204853929955792,-0.142323340536752,16.9798992350929,0.21391817715285,"n.s.",16.5910594115961,0.010133824814595,-0.388839823496792,0.116323626071634,"n.s.",0.000917157999458759,0.00874114483238673,"sig",0.0645102391709457,-0.143018452600455,16.5903642995324,0.248241606425381,"n.s.",0.0145412842885577,-0.389534935560494,0.0831471100914937,"n.s.",0.987530845697058,-0.000695112063702652,0.995495101997466,"n.s.",0.138940413312486,0.103398752314842,16.8367815044477,0.432040861183701,"n.s.",0.203182457143541,-0.143117730645198,0.333686896957356,"n.s.",0.00398805300259079,0.245722092851594,0.0992067635032267,"n.s.",0.0135972277746706,0.246417204915296,0.127852009132167,"n.s.",5,16.8052679544817,16.7194338130515,16.6754464888654,17.0720274387212,16.8106937238641,17.0569765426934,16.5883819205037,16.5871093274542,16.5976869868305,16.5079028239038,16.6210912937577,16.6420987809358,16.8294093870667,16.9114021193281,16.7695330069484,1.1466334093198e-16,0.193762802535867,-0.0321627875741323,0.122607769675399,0.0845779675946344,0.999999999999998,0.0248538016969061,0.670872919869031,0.126129395190722,0.276455973964607,0.127962058437786,0.870762798610392,0.541290891003669,0.418676982424671,"ER.Lumen"
"5","sp|O14656|TOR1A_HUMAN","TOR1A","TOR1A_HUMAN Torsin-1A",0.052978430143244,0.208465498703838,16.4600178787563,0.187358413366596,"n.s.",0.99955347828609,-5.62834625306152e-05,16.6684833774602,0.999742823517816,"n.s.",16.4599615952938,0.118650569649475,-0.208521782166368,0.323759693927249,"n.s.",0.0782871055288207,0.138617007777389,"n.s.",0.12714917762156,0.152824791171248,16.6128426699276,0.347488435735939,"n.s.",0.578111069364589,-0.0556407075325893,0.713517168360222,"n.s.",0.227703115303248,0.152881074633779,0.6797919846114,"n.s.",0.0227636464847345,0.19427079653682,16.6542886752932,0.26162799447271,"n.s.",0.851480102690556,-0.0141947021670177,0.894634710321969,"n.s.",0.0972360148133347,0.194327079999351,0.273962731170975,"n.s.",0.606405812936102,0.0414460053655716,0.751778044682465,"n.s.",0,16.5238044336432,16.4785845814035,16.3776646212223,16.6313258003781,16.5822451890014,16.791879143001,16.3387435019172,16.419608674207,16.6215326097573,16.5584417862719,16.7457446467017,16.5343415768092,16.6995698089947,16.5916211682118,16.6716750486729,1.34729425595077e-15,0.243775396279099,-0.0176897204163992,-0.0584027636717674,0.087079477264067,0.99999999999998,0.0074696949469826,0.813302188198648,0.44197978938693,0.260152626535199,0.0652678128048668,0.932636241317223,0.779150921115147,0.402169278302747,"ER.Membrane.associated"
"6","sp|O14672|ADA10_HUMAN","ADAM10","ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10",0.0380418855238352,-0.386950128129133,17.3949184928823,0.162566922800033,"n.s.",0.0219541121969941,-0.489677763933763,17.0079683647531,0.21626438880621,"n.s.",16.9052407289485,0.289018282073603,-0.10272763580463,0.516593273306914,"n.s.",0.00240619299488805,0.014999644643458,"sig",0.0309674242946924,-0.393530245000793,17.0013882478815,0.182261741300951,"n.s.",0.917031622766338,-0.00658011687166038,0.952862155375383,"n.s.",0.265015030333242,0.0961475189329697,0.707421314539696,"n.s.",0.901208128563248,-0.0193772721303347,17.3755412207519,0.963199777428361,"n.s.",0.0229023716155108,0.367572855998798,0.0944954477638012,"n.s.",0.0135486892123599,0.470300491803428,0.133047321291461,"n.s.",0.0166070020169551,0.374152972870458,0.133331844901681,"n.s.",6,17.52623168103,17.1626988633151,17.4958249343018,17.0321371326142,16.9111192053731,17.0806487562721,16.9963587324598,16.9455522934246,16.7738111609611,16.9651192182313,17.0636845399007,16.9753609855124,17.2592624738718,17.3169103642003,17.5504508241837,1.34729425595077e-15,0.193740875809168,-0.0250392717260664,0.0244873179037993,0.0858446630975003,0.999999999999977,0.0142003819475546,0.709721650166598,0.715796989501034,0.218467526985585,0.0956163038821265,0.885107600834505,0.905837745142501,0.357353528866398,"ER.Membrane"
"7","sp|O15120|PLCB_HUMAN","AGPAT2","PLCB_HUMAN 1-acyl-sn-glycerol-3-phosphate acyltransferase beta",0.874531109373201,-0.0247665438070435,17.6166051151576,0.923906351664683,"n.s.",0.0214495427638873,-0.421437181162069,17.5918385713505,0.215846238317502,"n.s.",17.1951679339955,0.0313709856484949,-0.396670637355026,0.172894024800505,"n.s.",0.0194991665501454,0.0549682858434425,"n.s.",0.629501176839252,-0.0630919461278658,17.5535131690297,0.79119075460215,"n.s.",0.779103889763832,-0.0383254023208224,0.864186613158466,"n.s.",0.0155973627876054,0.358345235034204,0.338366431107048,"n.s.",0.646099951995215,-0.0538082880987218,17.5627968270589,0.829017678380251,"n.s.",0.814730849440014,-0.0290417442916784,0.870014156426701,"n.s.",0.00656004039021264,0.367628893063348,0.111229160222084,"n.s.",0.913473516688694,0.00928365802914399,0.953893965168097,"n.s.",0,17.8054747545667,17.465529727936,17.57881086297,17.6384299447029,17.385804869738,17.7512808996106,17.142252026522,17.1346504985037,17.3086012769608,17.4204313570476,17.5945821070352,17.6455260430063,17.5814318480958,17.4818841034952,17.6250745295856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER.Membrane"
"8","sp|O15173-2|PGRC2_HUMAN","PGRMC2","PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2",0.0506873111422684,0.238781639331339,17.5146114157751,0.184654132997287,"n.s.",0.693878548720788,-0.034764030244439,17.7533930551064,0.848800280637816,"n.s.",17.4798473855306,0.0147395432647855,-0.273545669575778,0.131830734681517,"n.s.",0.0207718284505969,0.0568841095375119,"n.s.",0.157874042352362,0.122893856931512,17.6375052727066,0.383428958825077,"n.s.",0.089813380716887,-0.115887782399827,0.223054868384367,"n.s.",0.0240220717264335,0.157657887175951,0.370542971991648,"n.s.",0.289123388576386,0.108095339154353,17.6227067549294,0.588253075704153,"n.s.",0.153454030189479,-0.130686300176986,0.2787193943586,"n.s.",0.108214062119296,0.142859369398792,0.287650984791387,"n.s.",0.802757743466884,-0.0147985177771588,0.891527453015145,"n.s.",0,17.5818745702451,17.587195034803,17.3747646422771,17.6535218720546,17.8190875502224,17.7875697430422,17.4107418779119,17.4698758036269,17.5589244750531,17.6587698793273,17.6199077715724,17.63383816722,17.7161209748383,17.6238747763555,17.5281245135945,1.31862842071777e-15,0.375564214712301,0.038073887009966,-0.0536675751406008,-0.0784759529640991,0.999999999999981,0.00053101642786993,0.62267118661766,0.490586021062201,0.319987393186186,0.0174444805780357,0.841356507580122,0.807905796499319,0.465414145832007,"ER.Membrane"
"9","sp|O15269|SPTC1_HUMAN","SPTLC1","SPTC1_HUMAN Serine palmitoyltransferase 1",0.573177622873047,-0.0499829633401401,15.9562741391096,0.72245830717825,"n.s.",0.206455587257698,-0.164355345475432,15.9062911757695,0.493474649488748,"n.s.",15.7919187936342,0.339641052190024,-0.114372382135292,0.568506918680899,"n.s.",0.181266969418531,0.254778423517378,"n.s.",0.6508108010125,0.0442902569090879,16.0005643960187,0.804561233749942,"n.s.",0.336554938421293,0.094273220249228,0.50141367800915,"n.s.",0.137953157470589,0.20864560238452,0.594262102504533,"n.s.",0.412157380780469,0.0817477853568231,16.0380219244665,0.684767454537721,"n.s.",0.196308929791467,0.131730748696963,0.325990900690518,"n.s.",0.092375671164687,0.246103130832255,0.267990958104147,"n.s.",0.710082981241407,0.0374575284477352,0.826551618376241,"n.s.",0,15.9615593655095,15.848293702101,16.0589693497185,15.805356677719,15.9914741659587,15.9220426836308,15.6123064998118,15.8616391724951,15.9018107085956,16.130741147622,15.9064724738013,15.9644795666329,16.0095957356644,16.1628919800681,15.9415780576668,2.00660846630965e-16,0.214602260668832,0.0464558706267332,0.0695694013173333,-0.112485149361167,0.999999999999997,0.0126322497429902,0.526402616169925,0.348823043096567,0.143080536359912,0.088867950642343,0.789511248712434,0.725691555151554,0.265180619032865,"ER.Membrane"
"10","sp|O15270|SPTC2_HUMAN","SPTLC2","SPTC2_HUMAN Serine palmitoyltransferase 2",0.904417975409563,-0.0107399122075549,16.067773430866,0.942436729852476,"n.s.",0.303041615402174,-0.138476920397755,16.0570335186585,0.571900437835335,"n.s.",15.9292965104683,0.284643404510922,-0.1277370081902,0.51293367325243,"n.s.",0.318814336385597,0.393303667316812,"n.s.",0.634782029288324,-0.0553499084154083,16.0124235224506,0.794285805196397,"n.s.",0.655385193250855,-0.0446099962078534,0.775070694555309,"n.s.",0.538163495965258,0.0831270119823468,0.856648555531071,"n.s.",0.384702602802565,0.089141081966936,16.156914512833,0.66881961846724,"n.s.",0.242601736562096,0.0998809941744909,0.37787186867523,"n.s.",0.106408383076681,0.227618002364691,0.285330753029364,"n.s.",0.219898711276281,0.144490990382344,0.422974570323775,"n.s.",0,16.0231682742537,16.206900110032,15.9732519083124,16.0019240943374,16.0234050604243,16.1457714012137,15.9617470315168,15.7539536515618,16.0721888483262,15.906805639427,16.1718835048707,15.9585814230542,16.0496515719602,16.2465978862097,16.174494080329,1.1466334093198e-16,0.201765948953367,-0.1860447602433,-0.0180743614977009,-0.268191974933933,0.999999999999999,0.0548557432380951,0.0728961170808412,0.84953164067661,0.0161373367839636,0.194441498139199,0.42529644702777,0.955481671458354,0.0585039106858187,"ER.Membrane"
