"","Reference","Gene.Symbol","Annotation","p.val_ATG12d0.WTd0","log2FC_ATG12d0.WTd0","WTd0","q.val_ATG12d0.WTd0","sig_ATG12d0.WTd0","p.val_pentad0.WTd0","log2FC_pentad0.WTd0","ATG12d0","q.val_pentad0.WTd0","sig_pentad0.WTd0","pentad0","p.val_pentad0.ATG12d0","log2FC_pentad0.ATG12d0","q.val_pentad0.ATG12d0","sig_pentad0.ATG12d0","p.val_anova","q.val_anova","anova_sig","p.val_WTd12.WTd0","log2FC_WTd12.WTd0","WTd12","q.val_WTd12.WTd0","sig_WTd12.WTd0","p.val_WTd12.ATG12d0","log2FC_WTd12.ATG12d0","q.val_WTd12.ATG12d0","sig_WTd12.ATG12d0","p.val_WTd12.pentad0","log2FC_WTd12.pentad0","q.val_WTd12.pentad0","sig_WTd12.pentad0","p.val_ATG12d12.WTd0","log2FC_ATG12d12.WTd0","ATG12d12","q.val_ATG12d12.WTd0","sig_ATG12d12.WTd0","p.val_ATG12d12.ATG12d0","log2FC_ATG12d12.ATG12d0","q.val_ATG12d12.ATG12d0","sig_ATG12d12.ATG12d0","p.val_ATG12d12.pentad0","log2FC_ATG12d12.pentad0","q.val_ATG12d12.pentad0","sig_ATG12d12.pentad0","p.val_ATG12d12.WTd12","log2FC_ATG12d12.WTd12","q.val_ATG12d12.WTd12","sig_ATG12d12.WTd12","p.val_pentad12.WTd0","log2FC_pentad12.WTd0","pentad12","q.val_pentad12.WTd0","sig_pentad12.WTd0","p.val_pentad12.ATG12d0","log2FC_pentad12.ATG12d0","q.val_pentad12.ATG12d0","sig_pentad12.ATG12d0","p.val_pentad12.pentad0","log2FC_pentad12.pentad0","q.val_pentad12.pentad0","sig_pentad12.pentad0","p.val_pentad12.WTd12","log2FC_pentad12.WTd12","q.val_pentad12.WTd12","sig_pentad12.WTd12","p.val_pentad12.ATG12d12","log2FC_pentad12.ATG12d12","q.val_pentad12.ATG12d12","sig_pentad12.ATG12d12","cluster","WTd0_1","WTd0_2","WTd0_3","ATG12d0_1","ATG12d0_2","ATG12d0_3","pentad0_1","pentad0_2","pentad0_3","WTd12_1","WTd12_2","WTd12_3","ATG12d12_1","ATG12d12_2","ATG12d12_3","pentad12_1","pentad12_2","pentad12_3","coeff_(Intercept)","coeff_FAM134AC","coeff_FAM134ABC","coeff_FAM134ABCTEX","coeff_FAM134ABCTEXCCPG1","p.value_(Intercept)","p.value_FAM134AC","p.value_FAM134ABC","p.value_FAM134ABCTEX","p.value_FAM134ABCTEXCCPG1","q.value_FAM134AC","q.value_FAM134ABC","q.value_FAM134ABCTEX","q.value_FAM134ABCTEXCCPG1","Compartment_ss"
"1","sp|A1L0T0|ILVBL_HUMAN","ILVBL","ILVBL_HUMAN Acetolactate synthase-like protein",0.00118216876476506,-0.347993080452039,18.4717326823835,0.00518890973030069,"n.s.",0.00100281824328531,-0.358777074185134,18.1237396019315,0.0110487825686614,"n.s.",18.1129556081984,0.835403675303928,-0.0107839937330958,0.892058855134971,"n.s.",2.79522727067305e-06,3.68620980364203e-06,"sig",0.00132131985034313,-0.392414233570626,18.0793184488129,0.00187700634198637,"n.s.",0.464975968407101,-0.0444211531185879,0.483429953981664,"n.s.",0.571521142727192,-0.0336371593854921,0.587282517166911,"n.s.",0.00696384026306879,-0.124368180807636,18.3473645015759,0.00855190946533259,"n.s.",0.00306128109642255,0.223624899644403,0.00429682388802969,"n.s.",0.002399279391844,0.234408893377498,0.00329516416476012,"n.s.",0.00334908094627013,0.26804605276299,0.0570770926041889,"n.s.",0.00201967041728451,-0.208543379737151,18.2631893026463,0.00276116746428665,"n.s.",0.0221852583237117,0.139449700714888,0.027105776921374,"n.s.",0.0165511355728102,0.150233694447984,0.0199578416686006,"n.s.",0.0159331308260906,0.183870853833476,0.201193513041876,"n.s.",0.00768927824208225,-0.0841751989295147,0.0518874917595629,"n.s.",3,18.5197875329131,18.4464095044273,18.4490010098101,18.0609571945669,18.1808019136015,18.129459697626,18.1034327889227,18.1761530831313,18.059280952541,18.009387092418,18.1568213222078,18.0717469318128,18.3520961243257,18.3505572438914,18.3394401365105,18.2948851280706,18.2552025426337,18.2394802372347,9.17306727455842e-16,0.602119665301535,0.286630159481999,-0.218518821224201,0.537554395506267,0.999999999999991,0.000264347043504598,0.0258230178776263,0.0741842964486271,0.000619375156228202,0.0133978409884509,0.35089153216822,0.464612629659135,0.00820706113604358,"ER.Membrane"
"2","sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS_HUMAN Neuroblastoma-amplified sequence",0.0773495075022471,-0.126860799702104,17.0823544907845,0.106061644687081,"n.s.",0.101087768481321,-0.11414338219803,16.9554936910824,0.15549372387678,"n.s.",16.9682111085865,0.759501597913197,0.0127174175040743,0.838316483142828,"n.s.",0.00766011223814978,0.00808036105445059,"sig",0.0424128152142952,-0.165001796833959,16.9173526939505,0.0474602645906653,"n.s.",0.415101587221597,-0.0381409971318547,0.433303362057136,"n.s.",0.293947814741489,-0.050858414635929,0.309965361334891,"n.s.",0.609129210385201,0.0324829209732194,17.1148374117577,0.62240949294853,"n.s.",0.024484523916047,0.159343720675324,0.029288665797082,"n.s.",0.0320370866811185,0.146626303171249,0.0369242042267108,"n.s.",0.0148687479703113,0.197484717807178,0.101556478807973,"n.s.",0.729126736106657,0.0249415972287892,17.1072960880133,0.739356201809302,"n.s.",0.0531254073276641,0.151802396930893,0.0614656352089984,"n.s.",0.0678521446251053,0.139084979426819,0.075870459572415,"n.s.",0.0310277830376682,0.189943394062748,0.250383339643805,"n.s.",0.907046294655981,-0.00754132374443017,0.943699396746658,"n.s.",3,17.1724244560405,17.0551455274582,17.0194934888548,16.9246628438311,17.0099778506308,16.9318403787853,16.9321565933962,16.9501663509553,17.022310381408,16.9571323693745,16.9406365318581,16.8542891806191,17.1670488954171,17.1319665834463,17.0454967564097,17.0125722495433,17.1348378474088,17.1744781670878,1.26129675025178e-15,0.280256876115332,0.0152559158866339,-0.00160796727770083,0.0417446953572345,0.999999999999974,0.000327815745086728,0.777193962927234,0.976156888325048,0.444773303322536,0.0142187131448049,0.917429471980117,0.992376641083997,0.58548869994139,"ER.Membrane.associated"
"3","sp|O00264|PGRC1_HUMAN","PGRMC1","PGRC1_HUMAN Membrane-associated progesterone receptor component 1",0.0103522917565335,-0.458678669168101,17.4373846905003,0.0212174233848461,"n.s.",0.0231318617436443,-0.368793211518778,16.9787060213322,0.0537674278651933,"n.s.",17.0685914789815,0.138192843921428,0.0898854576493235,0.269687335941655,"n.s.",1.56200447144479e-06,2.12241558871966e-06,"sig",0.000499564514208654,-1.07152895558499,16.3658557349153,0.00080756872022035,"down",0.000267902751545547,-0.612850286416887,0.000539130696585621,"down",0.000218771339297739,-0.70273574406621,0.000437615626691276,"down",0.00147164276429137,-0.753738674286776,16.6836460162135,0.00205168137182986,"down",0.000956881294110116,-0.295060005118675,0.00153855022336279,"n.s.",0.000670843350029005,-0.384945462767998,0.001062404766849,"n.s.",0.00174718403584176,0.317790281298212,0.0454926076327248,"n.s.",0.00751989375021577,-0.737028808878996,16.7003558816213,0.00924044297573626,"down",0.0749870871729308,-0.278350139710895,0.0851822639557682,"n.s.",0.0358556128369323,-0.368235597360218,0.0413252298575901,"n.s.",0.0485497530525911,0.334500146705992,0.289327998953279,"n.s.",0.889724037874565,0.0167098654077797,0.932306463442711,"n.s.",6,17.3058854139512,17.623865192405,17.3824034651447,16.918194602561,17.0181876279532,16.9997358334824,17.1437512949867,17.0261471589024,17.0358759830554,16.4068714905217,16.4054083592523,16.2852873549719,16.6586118286666,16.6842708952233,16.7080553247507,16.8956161124869,16.6985919127731,16.506859619604,-1.03197006838782e-15,0.342583805027432,0.094321906691467,-0.139303213465867,0.0811876233721343,0.999999999999975,2.16656245351288e-05,0.0671479974520123,0.0126264196439362,0.107624507146977,0.00429763707197325,0.415008236540334,0.277566041704133,0.215570815145889,"ER.Membrane"
"4","sp|O00400|ACATN_HUMAN","SLC33A1","ACATN_HUMAN Acetyl-coenzyme A transporter 1",0.000497169312268718,-0.452492158554097,15.744784305132,0.00336823146345606,"n.s.",0.00148031589235234,-0.321014280564171,15.2922921465779,0.012722657647882,"n.s.",15.4237700245678,0.0566732558866655,0.131477877989926,0.155735088956316,"n.s.",2.87352200360405e-09,5.73843491998027e-09,"sig",0.000115768897518001,-1.08245479292855,14.6623295122034,0.000253677741327671,"down",0.00123067752308188,-0.629962634374456,0.0019316678338483,"down",0.000553639631246733,-0.761440512364382,0.000917735326844198,"down",2.59466907736543e-05,-1.1328816762539,14.6119026288781,8.24876512724706e-05,"down",0.000314048334545119,-0.680389517699806,0.000598848047977168,"down",0.000138434358995322,-0.811867395689733,0.000299159841359128,"down",0.572088105164651,-0.0504268833253505,0.719638612472791,"n.s.",0.000126357210017543,-0.958495466410225,14.7862888387218,0.000269565043703856,"down",0.00203767804155377,-0.506003307856128,0.00306982184110524,"n.s.",0.000778579791154617,-0.637481185846054,0.00125827051916394,"down",0.245890732494246,0.123959326518328,0.518535986616353,"n.s.",0.0837158231169096,0.174386209843679,0.188943274220595,"n.s.",6,15.7802467208718,15.6983580164228,15.7557481781013,15.2246619295147,15.3499602059663,15.3022543042527,15.4044728079032,15.4888910875682,15.377946178232,14.6149396483385,14.7965627999099,14.5754860883619,14.5211063725191,14.646669017913,14.6679324962021,14.8535755308144,14.6649976356404,14.8402933497105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER.Membrane"
"5","sp|O00469-2|PLOD2_HUMAN","PLOD2","PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.453565978357401,0.0509107212427615,16.9623132127234,0.503784910973162,"n.s.",0.867292620637486,0.010115113469805,17.0132239339661,0.892433693173975,"n.s.",16.9724283261932,0.319252304320911,-0.0407956077729565,0.473472082477416,"n.s.",0.988262567822177,0.988262567822177,"n.s.",0.616964337511243,0.0340324137789452,16.9963456265023,0.630522838284489,"n.s.",0.725980468039447,-0.0168783074638164,0.73803708316703,"n.s.",0.566677623077499,0.0239173003091402,0.582704672753157,"n.s.",0.618020200037661,0.0436510217785013,17.0059642345019,0.631279274651103,"n.s.",0.919947852515554,-0.00725969946426019,0.923333974776779,"n.s.",0.626518959997323,0.0335359083086963,0.64017837523828,"n.s.",0.89614433230754,0.00961860799955616,0.940512569893795,"n.s.",0.85194238108533,0.0244794687882788,16.9867926815117,0.857661074698925,"n.s.",0.829272740976678,-0.0264312524544827,0.838215193448878,"n.s.",0.904524615625635,0.0143643553184738,0.910138069295233,"n.s.",0.938130117125264,-0.00955294499066639,0.972503360269155,"n.s.",0.886733379304739,-0.0191715529902226,0.930147498242547,"n.s.",0,16.9869647863162,16.8599743354367,17.0400005164173,16.9588149170062,17.0634145440755,17.0174423408167,16.9622538526072,16.9452673349659,17.0097637910064,16.9854234915566,17.0584254604583,16.945187927492,16.8864277087281,17.0471047444847,17.0843602502928,16.8428769897256,17.2046540515621,16.9128470032473,1.1466334093198e-16,0.193762802535867,-0.0321627875741323,0.122607769675399,0.0845779675946344,0.999999999999998,0.0248538016969061,0.670872919869031,0.126129395190722,0.276455973964607,0.127962058437786,0.870762798610392,0.541290891003669,0.418676982424671,"ER.Lumen"
"6","sp|O00767|ACOD_HUMAN","SCD","ACOD_HUMAN Acyl-CoA desaturase",0.000253428790272825,-1.08259968709448,20.9569772194943,0.00253176758451277,"down",0.0024147644804781,-0.880393897996935,19.8743775323998,0.0154932322121798,"down",20.0765833214974,0.107625077343179,0.202205789097544,0.232078662466475,"n.s.",3.19825010335157e-11,1.01407517811871e-10,"sig",1.30297684491303e-05,-2.45284517427436,18.50413204522,6.28340682687559e-05,"down",5.62814476387682e-06,-1.37024548717988,4.58834203658901e-05,"down",0.000109120530901286,-1.57245127627742,0.00026195040611317,"down",3.32546957510248e-05,-2.77575784106372,18.1812193784306,9.73145950294622e-05,"down",8.91933806814319e-05,-1.69315815396924,0.000220689843248488,"down",0.000180481352550916,-1.89536394306679,0.000364793677207866,"down",0.0437180886263091,-0.322912666789364,0.16258126520332,"n.s.",3.06438273807857e-05,-2.53939655552452,18.4175806639698,9.52974951868475e-05,"down",7.51092996007714e-05,-1.45679686843004,0.000203238921202087,"down",0.000206559808282245,-1.65900265752758,0.000425033400472696,"down",0.406525229666427,-0.0865513812501568,0.653320386754565,"n.s.",0.153738247860639,0.236361285539207,0.283080340367089,"n.s.",1,21.0090433783266,21.073328436669,20.7885598434873,19.8585434113412,19.8529367457527,19.9116524401056,20.2545164161819,20.0502374626304,19.9249960856798,18.5253479029281,18.5574423281349,18.4296059045968,18.354451507374,18.1947719859672,17.9944346419505,18.3150571012332,18.586578150471,18.3511067402052,1.43329176164975e-17,0.1281768551663,0.0432294400567651,-0.0927996114813657,-0.240513828973567,1,0.499225373860202,0.817850091920179,0.622741183224671,0.217680035134867,0.694469261422048,0.933619295439095,0.870836197612398,0.357016575578921,"ER.Membrane"
"7","sp|O14672|ADA10_HUMAN","ADAM10","ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10",0.00384729865508185,-0.325390284556992,18.8089219138292,0.0106950623873198,"n.s.",0.00353186374274292,-0.459612669719792,18.4835316292722,0.0178573577073032,"n.s.",18.3493092441094,0.0848614517724094,-0.134222385162801,0.20011157593659,"n.s.",3.43418156797642e-10,8.2307851483382e-10,"sig",7.49831192547437e-05,-1.03674146113626,17.7721804526929,0.000187582874232363,"down",6.93399999249729e-05,-0.711351176579271,0.00019704910447651,"down",0.000955210874134677,-0.57712879141647,0.00145587145171086,"n.s.",2.29547313672169e-05,-1.21680156428461,17.5921203495445,7.63030693926155e-05,"down",6.19213483961821e-06,-0.89141127972762,3.83734249493336e-05,"down",0.000209588680929345,-0.75718889456482,0.000408744654376172,"down",0.0123397987373795,-0.18006010314835,0.0927649782274929,"n.s.",0.000115149027690474,-1.11042643494777,17.6984954788814,0.000251553642540091,"down",0.00017372903679849,-0.785036150390777,0.000389171206778993,"down",0.00110636351733157,-0.650813765227976,0.00169746157045322,"down",0.323783052313871,-0.0736849738115062,0.587693045887776,"n.s.",0.140617927971375,0.106375129336843,0.2676291084709,"n.s.",6,18.875599556712,18.8404894714553,18.7106767133202,18.5213082358619,18.4519199686764,18.4773666832782,18.3293443949225,18.4534883293213,18.2650950080843,17.6999012648037,17.8166485852274,17.7999915080476,17.552422347305,17.6079944663914,17.6159442349373,17.5897482458752,17.7581958704692,17.7475423202998,1.34729425595077e-15,0.193740875809168,-0.0250392717260664,0.0244873179037993,0.0858446630975003,0.999999999999977,0.0142003819475546,0.709721650166598,0.715796989501034,0.218467526985585,0.0956163038821265,0.885107600834505,0.905837745142501,0.357353528866398,"ER.Membrane"
"8","sp|O14735|CDIPT_HUMAN","CDIPT","CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase",0.0124317830523976,-0.260138619681243,15.2051348156086,0.0244794259353066,"n.s.",0.0620905089084202,-0.240348109840083,14.9449961959274,0.106514430352191,"n.s.",14.9647867057685,0.821404115713612,0.0197905098411599,0.88403360067563,"n.s.",9.0346874383313e-06,1.13601110757806e-05,"sig",0.0677358051637022,0.351506598416542,15.5566414140251,0.0743816758515558,"n.s.",0.0103170001148684,0.611645218097784,0.013174049316538,"up",0.017633880932923,0.591854708256625,0.0208938676114172,"up",0.00834023130636698,0.462140161270209,15.6672749768788,0.0101322494141141,"n.s.",0.001007894386568,0.722278780951452,0.00160764648365367,"up",0.0031327411053821,0.702488271110292,0.00419774712780595,"up",0.509788432243444,0.110633562853668,0.668609708139139,"n.s.",0.00207985367930325,0.672157082019925,15.8772918976285,0.00283698095091865,"up",0.000364113180878123,0.932295701701168,0.000708273337252873,"up",0.00115035979074836,0.912505191860008,0.00175304063564255,"up",0.103638090005286,0.320650483603384,0.368416018682484,"n.s.",0.132448820132016,0.210016920749716,0.257056121634411,"n.s.",4,15.2959569280314,15.2073698850038,15.1120776337906,14.91073844663,15.0012850142134,14.9229651269387,15.0450998108948,15.0385549730363,14.8107053333744,15.7166008655162,15.2969262298812,15.6563971466781,15.5163595449242,15.7014787567705,15.7839866289418,15.7437539917724,15.8728897844018,16.0152319167113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ER.Membrane"
"9","sp|O15173-2|PGRC2_HUMAN","PGRMC2","PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2",0.0028114045016305,-0.32491783407303,17.6145854078074,0.00872058717956637,"n.s.",0.00495342125739668,-0.287483994253421,17.2896675737344,0.0211075604577238,"n.s.",17.327101413554,0.514656345948174,0.0374338398196095,0.64984706784742,"n.s.",4.03391925294304e-05,4.84086449257957e-05,"sig",0.000581700956560472,-0.562640838249166,17.0519445695582,0.000917315870967137,"n.s.",0.0147420074860377,-0.237723004176136,0.0183327742348135,"n.s.",0.00969763785718024,-0.275156843995745,0.0119311176179705,"n.s.",0.0134858226290754,-0.271230451226621,17.3433549565808,0.0159317546183189,"n.s.",0.45680785772437,0.0536873828464088,0.475019992804385,"n.s.",0.818870685153675,0.0162535430267994,0.826725890312503,"n.s.",0.0146838958521146,0.291410387022545,0.101420666016237,"n.s.",0.00311786725154806,-0.412201305738378,17.202384102069,0.00408118822649723,"n.s.",0.254618598238334,-0.0872834716653479,0.272565483731579,"n.s.",0.135754187014525,-0.124717311484957,0.147374116521921,"n.s.",0.102278633194774,0.150439532510788,0.366805642639769,"n.s.",0.14250109827685,-0.140970854511757,0.269418244110565,"n.s.",6,17.648309681481,17.6492341525982,17.546212389343,17.2222698074198,17.3451027545669,17.3016301592164,17.3890441512315,17.3347087845953,17.2575513048351,17.0819634213615,17.1109978916409,16.9628723956724,17.2715487027656,17.4501376528771,17.3083785140997,17.1232117261819,17.1759283729693,17.3080122070558,1.31862842071777e-15,0.375564214712301,0.038073887009966,-0.0536675751406008,-0.0784759529640991,0.999999999999981,0.00053101642786993,0.62267118661766,0.490586021062201,0.319987393186186,0.0174444805780357,0.841356507580122,0.807905796499319,0.465414145832007,"ER.Membrane"
"10","sp|O15269|SPTC1_HUMAN","SPTLC1","SPTC1_HUMAN Serine palmitoyltransferase 1",0.0118160654178284,-0.308283678774181,16.845684398973,0.0235173415858339,"n.s.",0.0174752929640667,-0.248038014322013,16.5374007201988,0.0446483315551261,"n.s.",16.597646384651,0.351628194294127,0.0602456644521681,0.506321232014196,"n.s.",4.51569459248721e-12,1.98651749308721e-11,"sig",2.70112831942197e-05,-1.18644452750176,15.6592398714712,9.51501396841598e-05,"down",4.9829432409032e-05,-0.878160848727576,0.000158914170785223,"down",1.37521134960876e-05,-0.938406513179745,9.09096067192818e-05,"down",2.80952902334847e-05,-1.2803396056892,15.5653447932838,8.6610301187397e-05,"down",5.19893990648264e-05,-0.972055926915017,0.000145808510981717,"down",1.89474733565815e-05,-1.03230159136718,8.03296565452877e-05,"down",0.0338563206265092,-0.0938950781874404,0.142529170132231,"n.s.",2.18705651048328e-05,-1.24637968762234,15.5993047113507,7.60539060017776e-05,"down",3.75765196258776e-05,-0.938096008848154,0.000123722031413633,"down",1.03823953685311e-05,-0.998341673300322,6.44095034289745e-05,"down",0.0243515834249927,-0.0599351601205775,0.230966413643578,"n.s.",0.309868721112683,0.0339599180668628,0.457519679536053,"n.s.",1,16.9037359057242,16.8942988585765,16.7390184326183,16.4461489507803,16.5872861317335,16.5787670780826,16.6408534344814,16.6224249197377,16.5296607997338,15.6701675639596,15.6343120425846,15.6732400078694,15.609193260814,15.5165595130459,15.5702816059915,15.5775157178636,15.6036359963813,15.6167624198071,2.00660846630965e-16,0.214602260668832,0.0464558706267332,0.0695694013173333,-0.112485149361167,0.999999999999997,0.0126322497429902,0.526402616169925,0.348823043096567,0.143080536359912,0.088867950642343,0.789511248712434,0.725691555151554,0.265180619032865,"ER.Membrane"
