"","Reference","Gene.Symbol","Annotation","p.val_ATG12.WT","log2FC_ATG12.WT","WT","q.val_ATG12.WT","sig_ATG12.WT","p.val_CCPG1.WT","log2FC_CCPG1.WT","ATG12","q.val_CCPG1.WT","sig_CCPG1.WT","CCPG1","p.val_CCPG1.ATG12","log2FC_CCPG1.ATG12","q.val_CCPG1.ATG12","sig_CCPG1.ATG12","p.val_anova","q.val_anova","anova_sig","p.val_TEX264.WT","log2FC_TEX264.WT","TEX264","q.val_TEX264.WT","sig_TEX264.WT","p.val_TEX264.ATG12","log2FC_TEX264.ATG12","q.val_TEX264.ATG12","sig_TEX264.ATG12","p.val_TEX264.CCPG1","log2FC_TEX264.CCPG1","q.val_TEX264.CCPG1","sig_TEX264.CCPG1","p.val_FAM134A.WT","log2FC_FAM134A.WT","FAM134A","q.val_FAM134A.WT","sig_FAM134A.WT","p.val_FAM134A.ATG12","log2FC_FAM134A.ATG12","q.val_FAM134A.ATG12","sig_FAM134A.ATG12","p.val_FAM134A.CCPG1","log2FC_FAM134A.CCPG1","q.val_FAM134A.CCPG1","sig_FAM134A.CCPG1","p.val_FAM134A.TEX264","log2FC_FAM134A.TEX264","q.val_FAM134A.TEX264","sig_FAM134A.TEX264","p.val_FAM134B.WT","log2FC_FAM134B.WT","FAM134B","q.val_FAM134B.WT","sig_FAM134B.WT","p.val_FAM134B.ATG12","log2FC_FAM134B.ATG12","q.val_FAM134B.ATG12","sig_FAM134B.ATG12","p.val_FAM134B.CCPG1","log2FC_FAM134B.CCPG1","q.val_FAM134B.CCPG1","sig_FAM134B.CCPG1","p.val_FAM134B.TEX264","log2FC_FAM134B.TEX264","q.val_FAM134B.TEX264","sig_FAM134B.TEX264","p.val_FAM134B.FAM134A","log2FC_FAM134B.FAM134A","q.val_FAM134B.FAM134A","sig_FAM134B.FAM134A","p.val_FAM134C.WT","log2FC_FAM134C.WT","FAM134C","q.val_FAM134C.WT","sig_FAM134C.WT","p.val_FAM134C.ATG12","log2FC_FAM134C.ATG12","q.val_FAM134C.ATG12","sig_FAM134C.ATG12","p.val_FAM134C.CCPG1","log2FC_FAM134C.CCPG1","q.val_FAM134C.CCPG1","sig_FAM134C.CCPG1","p.val_FAM134C.TEX264","log2FC_FAM134C.TEX264","q.val_FAM134C.TEX264","sig_FAM134C.TEX264","p.val_FAM134C.FAM134A","log2FC_FAM134C.FAM134A","q.val_FAM134C.FAM134A","sig_FAM134C.FAM134A","p.val_FAM134C.FAM134B","log2FC_FAM134C.FAM134B","q.val_FAM134C.FAM134B","sig_FAM134C.FAM134B","cluster","WT_1","WT_2","WT_3","ATG12_1","ATG12_2","ATG12_3","CCPG1_1","CCPG1_2","CCPG1_3","TEX264_1","TEX264_2","TEX264_3","FAM134A_1","FAM134A_2","FAM134B_1","FAM134B_2","FAM134C_1","FAM134C_2","Compartment_ss"
"1","sp|A1L0T0|ILVBL_HUMAN","ILVBL","ILVBL_HUMAN Acetolactate synthase-like protein",0.00203406175409171,0.377701674182877,18.2028520195901,0.0114914735540665,"n.s.",0.0571242567763054,0.0593939888607693,18.580553693773,0.107770204271961,"n.s.",18.2622460084509,0.00275258488786454,-0.318307685322107,0.00963627772737018,"n.s.",0.000726706075570524,0.00264851258138189,"sig",0.630293606431948,-0.0442042571773698,18.1586477624128,0.723585345735203,"n.s.",0.0113769258862565,-0.421905931360246,0.0480903325133346,"n.s.",0.276014458072788,-0.103598246038139,0.425546916086525,"n.s.",0.923294833987292,0.00490965305025171,18.2077616726404,0.94847027968257,"n.s.",0.0142584285552287,-0.372792021132625,0.071127246165016,"n.s.",0.245790407747774,-0.0544843358105176,0.387335078357387,"n.s.",0.691562655705425,0.0491139102276215,0.897533792418309,"n.s.",0.199339785406654,-0.127154057167893,18.0756979624223,0.36001165257389,"n.s.",0.0130804985438545,-0.504855731350769,0.066551371153583,"n.s.",0.0819010366587321,-0.186548046028662,0.244008605769464,"n.s.",0.563580872140444,-0.0829497999905229,0.845953273220575,"n.s.",0.349358643148539,-0.132063710218144,0.883519293933729,"n.s.",0.285566539189115,-0.0492353016623639,18.1536167179278,0.409456205767598,"n.s.",0.00784306566326785,-0.426936975845241,0.113525511394904,"n.s.",0.0248408917514014,-0.108629290523133,0.0839692115540329,"n.s.",0.966059608310063,-0.00503104448499414,0.984751653586472,"n.s.",0.465642306289269,-0.0541449547126156,0.827808544514256,"n.s.",0.526596670846741,0.0779187555055287,0.818036484520924,"n.s.",3,18.1851986060534,18.246513244362,18.176844208355,18.5243617220589,18.5409938280268,18.6763055312334,18.2554824735195,18.2709421378753,18.2603134139579,18.2999289398662,18.0156701615507,18.1603441858215,18.257946255891,18.1575770893898,17.9789485295568,18.1724473952877,18.1875175672208,18.1197158686348,"ER.Membrane"
"2","sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS_HUMAN Neuroblastoma-amplified sequence",0.0108310425876708,0.107892166462246,19.7312593006998,0.031501416502741,"n.s.",0.611313508057542,0.0153795788490712,19.8391514671621,0.682278941132083,"n.s.",19.7466388795489,0.0632894733727813,-0.0925125876131752,0.0967254215697224,"n.s.",0.0104671579688951,0.0182037529893827,"sig",0.0172823575605914,-0.164607352110654,19.5666519485892,0.056761113528957,"n.s.",0.00473848502198299,-0.2724995185729,0.0308028053346938,"n.s.",0.0228551973823328,-0.179986930959725,0.108897318890223,"n.s.",0.819297044370814,-0.0150234369421121,19.7162358637577,0.876230530069263,"n.s.",0.165179975837853,-0.122915603404358,0.269885588358367,"n.s.",0.692504667423443,-0.0304030157911832,0.783830610463565,"n.s.",0.16080938126551,0.149583915168542,0.660305989493119,"n.s.",0.0184618207688938,-0.1387446951363,19.5925146055635,0.11754444170202,"n.s.",0.00991383507273998,-0.246636861598546,0.0600389264218272,"n.s.",0.0440070501554234,-0.154124273985371,0.191817267970683,"n.s.",0.701440339232355,0.0258626569743541,0.894347531862532,"n.s.",0.300912777244204,-0.123721258194188,0.880736450200918,"n.s.",0.504015137924395,-0.0549363263005844,19.6763229743992,0.613906916785749,"n.s.",0.129605097122326,-0.162828492762831,0.322360580397969,"n.s.",0.447295506983646,-0.0703159051496556,0.556970577489244,"n.s.",0.311103774117886,0.109671025810069,0.63897066760187,"n.s.",0.781581428215423,-0.0399128893584724,0.942786235077428,"n.s.",0.507063108316753,0.0838083688357152,0.808440364383723,"n.s.",1,19.7328769356296,19.7380529722003,19.7228479942696,19.8279521477734,19.805108884746,19.8843933689668,19.7962348984383,19.7427564008479,19.7009253393604,19.5343912574448,19.5160289393374,19.6495356489853,19.7967502219663,19.6357215055491,19.631554504934,19.5534747061931,19.7733647307117,19.5792812180868,"ER.Membrane.associated"
"3","sp|O00264|PGRC1_HUMAN","PGRMC1","PGRC1_HUMAN Membrane-associated progesterone receptor component 1",0.112928504935119,0.116463701824397,20.725476615854,0.175191934876603,"n.s.",0.00284675822828108,-0.17838914870007,20.8419403176784,0.0156995687823501,"n.s.",20.547087467154,0.00898381972669599,-0.294852850524467,0.0212309087633078,"n.s.",0.000424438243400151,0.00186731742377564,"sig",0.0113347994904674,-0.2030833167982,20.5223932990558,0.0441138142331705,"n.s.",0.011415903947082,-0.319547018622597,0.0481516209474945,"n.s.",0.655834781074959,-0.0246941680981294,0.754314764175671,"n.s.",0.000769027782190447,-0.249829842774233,20.4756467730798,0.0395739291441173,"n.s.",0.0158982593950934,-0.36629354459863,0.0744907598555354,"n.s.",0.133807675541259,-0.0714406940741625,0.267615351082519,"n.s.",0.485188356395611,-0.0467465259760331,0.827809518020948,"n.s.",0.0282232301183494,-0.45511479112988,20.2703618247241,0.137405357751243,"n.s.",0.0240749331649928,-0.571578492954277,0.0873980766998057,"n.s.",0.100816970218543,-0.27672564242981,0.267743429104983,"n.s.",0.141821519229046,-0.25203147433168,0.508203669753107,"n.s.",0.311664213620081,-0.205284948355647,0.883519293933729,"n.s.",0.00241366311377936,-0.13066926232144,20.5948073535326,0.0505286759231243,"n.s.",0.0433147958318466,-0.247132964145838,0.200227154801412,"n.s.",0.245341559554919,0.0477198863786299,0.363219855132711,"n.s.",0.298925981612421,0.0724140544767593,0.632335460338009,"n.s.",0.020289877179298,0.119160580452792,0.518662861041011,"n.s.",0.166744052795395,0.32444552880844,0.588104487386682,"n.s.",1,20.7111073237648,20.7447315467749,20.7205909770225,20.8152575640286,20.9506464204341,20.7599169685725,20.5010624828894,20.5513371887982,20.5888627297743,20.4554046054297,20.5047954631005,20.6069798286373,20.4918560227166,20.459437523443,20.4224735723416,20.1182500771067,20.600670187016,20.5889445200492,"ER.Membrane"
"4","sp|O00400|ACATN_HUMAN","SLC33A1","ACATN_HUMAN Acetyl-coenzyme A transporter 1",0.102375575823714,0.145479056324806,16.6569913419258,0.162278310014106,"n.s.",0.000502131438786137,0.403783588814658,16.8024703982506,0.00705312831278422,"n.s.",17.0607749307405,0.0254969588800369,0.258304532489852,0.0463874345229226,"n.s.",0.0269471559105189,0.038752234864661,"sig",0.102715429304686,0.238450925811104,16.8954422677369,0.189380853699777,"n.s.",0.512682023575499,0.0929718694862984,0.616131215276193,"n.s.",0.22889318024094,-0.165332663003554,0.37616733653596,"n.s.",0.0121091064479289,0.206684693823714,16.8636760357495,0.0763297760530924,"n.s.",0.544959515973343,0.0612056374989081,0.637425571030192,"n.s.",0.0327106671162474,-0.197098894990944,0.132574218743214,"n.s.",0.842371207922209,-0.0317662319873904,0.950590403027395,"n.s.",0.0701530316504006,0.0705862009075808,16.7275775428334,0.20997304623307,"n.s.",0.445415818788321,-0.0748928554172252,0.563775156604422,"n.s.",0.00484119474798934,-0.333197387907077,0.121793184898885,"n.s.",0.327773343800094,-0.167864724903524,0.705552299754307,"n.s.",0.0717694379428244,-0.136098492916133,0.788137478793641,"n.s.",0.507536550829456,0.0766117428692183,16.733603084795,0.616811112035798,"n.s.",0.634676544857324,-0.0688673134555877,0.764017092824718,"n.s.",0.056692694869863,-0.32717184594544,0.136822593205479,"n.s.",0.422344592155768,-0.161839182941886,0.70825465258741,"n.s.",0.445714987266005,-0.130072950954496,0.815626237652478,"n.s.",0.967961515882321,0.00602554196163751,0.990503977614829,"n.s.",4,16.6246646361669,16.6543494740738,16.6919599155368,16.9342768561653,16.7275840259889,16.7455503125977,17.0715416231268,16.9971624138504,17.1136207552443,16.9478648459299,16.6816518151263,17.0568101421546,16.9017232628023,16.8256288086968,16.7338966075677,16.7212584780992,16.6008346568013,16.8663715127888,"ER.Membrane"
"5","sp|O00469-2|PLOD2_HUMAN","PLOD2","PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.0234278632214933,0.186478183825763,18.3091752859591,0.0529412981312429,"n.s.",0.0240458812896936,0.161334798760727,18.4956534697849,0.0569922568948501,"n.s.",18.4705100847199,0.735003843939058,-0.0251433850650358,0.778314466223484,"n.s.",0.662801360530136,0.668995765768736,"n.s.",0.368641131001999,0.227157026384965,18.5363323123441,0.488905961705476,"n.s.",0.868419141903763,0.0406788425592026,0.901675378871396,"n.s.",0.788011549084743,0.0658222276242384,0.853898802352698,"n.s.",0.220705080278951,0.0831429861126765,18.3923182720718,0.349601495798409,"n.s.",0.316930387473418,-0.103335197713086,0.423707223195327,"n.s.",0.398863950076886,-0.0781918126480505,0.538354175483903,"n.s.",0.658486447920866,-0.144014040272289,0.885819427553915,"n.s.",0.83505670007106,-0.0196467148065693,18.2895285711526,0.888971154338832,"n.s.",0.156781348380749,-0.206124898632332,0.268200405888927,"n.s.",0.181996888123957,-0.180981513567296,0.34598498270066,"n.s.",0.474076595587703,-0.246803741191535,0.796478179779184,"n.s.",0.530526655953462,-0.102789700919246,0.903018686133597,"n.s.",0.0352156106872815,0.161755435339991,18.4709307212991,0.120167012771766,"n.s.",0.778923408682879,-0.0247227484857717,0.866064462639851,"n.s.",0.99579072261367,0.000420636579264055,0.997175688848182,"n.s.",0.837705769843276,-0.0654015910449743,0.932248197550717,"n.s.",0.488248594305268,0.0786124492273146,0.838127077808015,"n.s.",0.298353558367218,0.18140215014656,0.69659543357918,"n.s.",0,18.3090645700116,18.3049441117646,18.3135171761013,18.4424866469885,18.6000727627504,18.4444009996158,18.3881003759856,18.4781802635175,18.5452496146565,18.1772445540452,18.9489586507676,18.4827937322195,18.4645235812028,18.3201129629408,18.4055991937443,18.1734579485608,18.5300504805094,18.4118109620889,"ER.Lumen"
"6","sp|O00767|ACOD_HUMAN","SCD","ACOD_HUMAN Acyl-CoA desaturase",0.219576254304269,-0.253751732935644,16.8952529288557,0.299107447528204,"n.s.",0.0385096814936333,-0.281529523191427,16.6415011959201,0.0806537608528584,"n.s.",16.6137234056643,0.880301907146705,-0.027777790255783,0.901162141913214,"n.s.",0.064106081717071,0.0797327081624991,"n.s.",0.0120448649746816,-0.420307165325301,16.4749457635304,0.0455692044411042,"n.s.",0.395393783317609,-0.166555432389657,0.503963752143609,"n.s.",0.213273519722005,-0.138777642133874,0.360274350312458,"n.s.",0.00923156605171416,-0.571719681191688,16.323533247664,0.0699068616619914,"n.s.",0.229569146960097,-0.317967948256044,0.336486784053705,"n.s.",0.0495486077028224,-0.290190158000261,0.159818306577546,"n.s.",0.21643279685714,-0.151412515866387,0.690151492296672,"n.s.",0.0839343374779755,-0.55343821702656,16.3418147118292,0.227711883795372,"n.s.",0.374030253350018,-0.299686484090916,0.497580792795753,"n.s.",0.295626723611806,-0.271908693835133,0.449994586289112,"n.s.",0.584307570678132,-0.133131051701259,0.852645392855848,"n.s.",0.952487624512401,0.0182814641651277,0.991664493386947,"n.s.",0.0276207912721554,-0.349674973463515,16.5455779553922,0.107820920146727,"n.s.",0.675811318106664,-0.0959232405278705,0.793318344442375,"n.s.",0.468089361637516,-0.0681454502720875,0.57643843850458,"n.s.",0.485323631329717,0.0706321918617867,0.74967750441396,"n.s.",0.0504387949986417,0.222044707728173,0.524758057874451,"n.s.",0.524809339312623,0.203763243563046,0.817782856847818,"n.s.",0,16.7907265441989,17.0210841716441,16.8739480707242,16.3580662049181,16.9154731813116,16.6509642015306,16.5121137580123,16.7310662964627,16.597990162518,16.4434931625118,16.3744507519976,16.6068933760819,16.3753504623697,16.2717160329584,16.6085971679006,16.0750322557578,16.5474365548928,16.5437193558916,"ER.Membrane"
"7","sp|O14656|TOR1A_HUMAN","TOR1A","TOR1A_HUMAN Torsin-1A",0.51538760589807,-0.0574173688929775,17.0695466809023,0.596590154737316,"n.s.",0.0544341605531479,-0.159834196529854,17.0121293120094,0.104235626591134,"n.s.",16.9097124843725,0.262645679406998,-0.102416827636876,0.32424157031003,"n.s.",0.122683856948238,0.140631769507267,"n.s.",0.00657099136711134,-0.249942927935869,16.8196037529665,0.0323947332707057,"n.s.",0.05258575981463,-0.192525559042892,0.120408382897103,"n.s.",0.115019704759153,-0.0901087314060156,0.247617171707413,"n.s.",0.432778529245629,-0.133440879009733,16.9361058018926,0.559500537704759,"n.s.",0.670852534206609,-0.0760235101167552,0.744720217230389,"n.s.",0.867990851132344,0.026393317520121,0.910391482256655,"n.s.",0.463179362582171,0.116502048926137,0.818617294290954,"n.s.",0.125035263734982,-0.198806157074575,16.8707405238278,0.279524614261719,"n.s.",0.307515890371881,-0.141388788181597,0.431694750782017,"n.s.",0.698347590715049,-0.0389719605447212,0.790168043973025,"n.s.",0.566502702530454,0.0511367708612944,0.846218878410432,"n.s.",0.784116055437917,-0.0653652780648422,0.951333465500412,"n.s.",0.0275455350716491,-0.304647143252605,16.7648995376497,0.107739326911576,"n.s.",0.0914901118543703,-0.247229774359628,0.275649244313338,"n.s.",0.138580377186228,-0.144812946722752,0.245691065435501,"n.s.",0.405860046320862,-0.0547042153167361,0.700081476735622,"n.s.",0.472793903470625,-0.171206264242873,0.830722476813896,"n.s.",0.475533958596316,-0.105840986178031,0.798744682542385,"n.s.",0,17.023081884422,17.0285677113291,17.1569904469559,17.0493959212231,16.8808635202842,17.1061284945208,16.9885658253943,16.8827217398035,16.8578498879197,16.7833493678607,16.8223837478486,16.8530781431901,17.1191531207339,16.7530584830513,16.9717115374,16.7697695102556,16.8324773146064,16.6973217606931,"ER.Membrane.associated"
"8","sp|O14672|ADA10_HUMAN","ADAM10","ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10",0.116863359252196,0.0927579346714431,17.5024260506627,0.180260549382106,"n.s.",0.012998475835303,0.182053400560818,17.5951839853341,0.0377206105744574,"n.s.",17.6844794512235,0.103209892271888,0.089295465889375,0.145835172682477,"n.s.",0.137428745535756,0.15557971192727,"n.s.",0.961871454692937,-0.00488115095982522,17.4975448997028,0.974503912822113,"n.s.",0.365991742337197,-0.0976390856312683,0.475657138055563,"n.s.",0.117798510787773,-0.186934551520643,0.251676343522839,"n.s.",0.872052455185835,0.00747481704320307,17.5099008677059,0.913350559173138,"n.s.",0.136903290273058,-0.08528311762824,0.237751372761753,"n.s.",0.0153534183468496,-0.174578583517615,0.099208211185981,"n.s.",0.922103801169445,0.0123559680030283,0.978103229919464,"n.s.",0.357588960158747,0.0470869190505567,17.5495129697132,0.512649659696611,"n.s.",0.366453684272947,-0.0456710156208864,0.490626524718622,"n.s.",0.0327163620085121,-0.134966481510261,0.176081416789999,"n.s.",0.686010286135214,0.051968070010382,0.888600756003164,"n.s.",0.0684026279107303,0.0396121020073537,0.785273633899843,"n.s.",0.181781350575291,0.0888382101392509,17.5912642608019,0.29889856986925,"n.s.",0.943549483300309,-0.00391972453219225,0.96789625641697,"n.s.",0.130357018666036,-0.0932151904215672,0.235023036204175,"n.s.",0.490956606401253,0.0937193610990761,0.753965897672221,"n.s.",0.167247752278338,0.0813633930960478,0.637912548092157,"n.s.",0.40404504793521,0.0417512910886941,0.758392604586322,"n.s.",0,17.5357026315321,17.5352298086085,17.4363457118474,17.599791316945,17.5363253335586,17.6494353054988,17.6403979479701,17.7335929160623,17.679447489638,17.5589224779307,17.3201397380944,17.6135724830835,17.5100326236528,17.5097691117589,17.5385847914606,17.5604411479659,17.6295139304835,17.5530145911204,"ER.Membrane"
"9","sp|O14735|CDIPT_HUMAN","CDIPT","CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase",0.00431729611481793,0.356891699589713,17.230891672761,0.0176282790321488,"n.s.",0.00439096156900723,-0.285827889393246,17.5877833723507,0.0199533176487846,"n.s.",16.9450637833678,0.000729733063110315,-0.64271958898296,0.00459934139167503,"down",0.000237743452690649,0.00129983248488716,"sig",0.0438605564968233,-0.308628180679001,16.922263492082,0.10288173089008,"n.s.",0.0046503602414942,-0.665519880268715,0.0307807296883375,"down",0.846909790149359,-0.0228002912857548,0.896114230561412,"n.s.",0.0365202059265018,-0.340197680153032,16.890693992608,0.119058027410448,"n.s.",0.00852789188932258,-0.697089379742746,0.0602625293814726,"n.s.",0.632718205793232,-0.054369790759786,0.736617674010086,"n.s.",0.855280958887983,-0.0315694994740312,0.956289796865548,"n.s.",0.0240965012351822,-0.501920521568227,16.7289711511928,0.127567929573017,"n.s.",0.00765153516124558,-0.85881222115794,0.0564524876912103,"n.s.",0.182848083671674,-0.216092632174981,0.346909329249172,"n.s.",0.348712863864939,-0.193292340889226,0.7233224576968,"n.s.",0.488626262211685,-0.161722841415195,0.888910213119517,"n.s.",0.73718188480864,-0.0319944226291113,17.1988972501319,0.807733955623941,"n.s.",0.0356341242284835,-0.388886122218825,0.186970951417468,"n.s.",0.0770756225067511,0.253833466764135,0.165326062179327,"n.s.",0.171741716489228,0.27663375804989,0.543784378315619,"n.s.",0.19192001673235,0.308203257523921,0.657575698958272,"n.s.",0.12720967152355,0.469926098939116,0.549638789646894,"n.s.",3,17.2806702048611,17.2237133847584,17.1882914286636,17.5344138089102,17.6977776460446,17.5311586620974,16.8655085278524,16.9657756525468,17.0039071697041,16.7311578605565,16.9524071053126,17.0832255103769,17.0082477818722,16.7731402033437,16.8809959971818,16.5769463052037,17.3057625631682,17.0920319370956,"ER.Membrane"
"10","sp|O15173-2|PGRC2_HUMAN","PGRMC2","PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2",0.00499664539341771,0.835635705299634,18.8877973416768,0.0191964126346667,"up",0.532147612892081,0.0993776229678183,19.7234330469764,0.612598424505363,"n.s.",18.9871749646446,0.00113266169788817,-0.736258082331815,0.00571178817300806,"down",0.291121359322887,0.3059465469368,"n.s.",0.218908946194856,0.444860707061608,19.3326580487384,0.329897618684707,"n.s.",0.238970152569857,-0.390774998238026,0.346270165183844,"n.s.",0.285799136481673,0.345483084093789,0.43483878948139,"n.s.",0.640702988639274,0.0898387527512128,18.977636094428,0.73859227494965,"n.s.",0.00353944135092775,-0.745796952548421,0.0473622968790484,"down",0.91010476821503,-0.00953887021660549,0.942089280836005,"n.s.",0.391231496442682,-0.355021954310395,0.794727303118677,"n.s.",0.360117898999117,0.878035884652995,19.7658332263297,0.514233585636969,"n.s.",0.9611104397976,0.0424001793533613,0.973885168082634,"n.s.",0.402086178487723,0.778658261685177,0.548992506658332,"n.s.",0.653368128403517,0.433175177591387,0.872414068010466,"n.s.",0.537613167057606,0.788197131901782,0.905071781904927,"n.s.",0.920036064886217,-0.0208623488016677,18.8669349928751,0.944823090406131,"n.s.",0.00560839097084699,-0.856498054101301,0.106614713184833,"n.s.",0.360394452403665,-0.120239971769486,0.47399148601091,"n.s.",0.29087413640815,-0.465723055863275,0.62717757261984,"n.s.",0.437172049271304,-0.11070110155288,0.813454784046728,"n.s.",0.49074271103059,-0.898898233454663,0.801865360754749,"n.s.",0,19.0237446132625,19.0188489011683,18.6207985105994,19.783628175475,19.7965043859189,19.5901665795352,19.0465700555439,18.8714251725695,19.0435296658204,19.838277064061,18.8939492759059,19.2657478062482,18.9488556331825,19.0064165556734,18.6974601070332,20.8342063456263,18.7556369149537,18.9782330707965,"ER.Membrane"
