"","Reference","Gene.Symbol","Annotation","p.val_ATG12d12.WTd12","log2FC_ATG12d12.WTd12","WTd12","q.val_ATG12d12.WTd12","sig_ATG12d12.WTd12","p.val_Pentad12.WTd12","log2FC_Pentad12.WTd12","ATG12d12","q.val_Pentad12.WTd12","sig_Pentad12.WTd12","Pentad12","p.val_Pentad12.ATG12d12","log2FC_Pentad12.ATG12d12","q.val_Pentad12.ATG12d12","sig_Pentad12.ATG12d12","p.val_anova","q.val_anova","anova_sig","p.val_WTd12torin.WTd12","log2FC_WTd12torin.WTd12","WTd12torin","q.val_WTd12torin.WTd12","sig_WTd12torin.WTd12","p.val_WTd12torin.ATG12d12","log2FC_WTd12torin.ATG12d12","q.val_WTd12torin.ATG12d12","sig_WTd12torin.ATG12d12","p.val_WTd12torin.Pentad12","log2FC_WTd12torin.Pentad12","q.val_WTd12torin.Pentad12","sig_WTd12torin.Pentad12","p.val_ATG12d12torin.WTd12","log2FC_ATG12d12torin.WTd12","ATG12d12torin","q.val_ATG12d12torin.WTd12","sig_ATG12d12torin.WTd12","p.val_ATG12d12torin.ATG12d12","log2FC_ATG12d12torin.ATG12d12","q.val_ATG12d12torin.ATG12d12","sig_ATG12d12torin.ATG12d12","p.val_ATG12d12torin.Pentad12","log2FC_ATG12d12torin.Pentad12","q.val_ATG12d12torin.Pentad12","sig_ATG12d12torin.Pentad12","p.val_ATG12d12torin.WTd12torin","log2FC_ATG12d12torin.WTd12torin","q.val_ATG12d12torin.WTd12torin","sig_ATG12d12torin.WTd12torin","p.val_Pentad12torin.WTd12","log2FC_Pentad12torin.WTd12","Pentad12torin","q.val_Pentad12torin.WTd12","sig_Pentad12torin.WTd12","p.val_Pentad12torin.ATG12d12","log2FC_Pentad12torin.ATG12d12","q.val_Pentad12torin.ATG12d12","sig_Pentad12torin.ATG12d12","p.val_Pentad12torin.Pentad12","log2FC_Pentad12torin.Pentad12","q.val_Pentad12torin.Pentad12","sig_Pentad12torin.Pentad12","p.val_Pentad12torin.WTd12torin","log2FC_Pentad12torin.WTd12torin","q.val_Pentad12torin.WTd12torin","sig_Pentad12torin.WTd12torin","p.val_Pentad12torin.ATG12d12torin","log2FC_Pentad12torin.ATG12d12torin","q.val_Pentad12torin.ATG12d12torin","sig_Pentad12torin.ATG12d12torin","cluster","WTd12_1","WTd12_2","WTd12_3","ATG12d12_1","ATG12d12_2","ATG12d12_3","Pentad12_1","Pentad12_2","Pentad12_3","WTd12torin_1","WTd12torin_2","WTd12torin_3","ATG12d12torin_1","ATG12d12torin_2","ATG12d12torin_3","Pentad12torin_1","Pentad12torin_2","Pentad12torin_3","Compartment_ss"
"1","sp|A1L0T0|ILVBL_HUMAN","ILVBL","ILVBL_HUMAN Acetolactate synthase-like protein",0.000333313155100413,0.438400758686218,17.867080733283,0.00480591069318553,"n.s.",0.000396616559278492,0.229791816161526,18.3054814919692,0.0104477615415272,"n.s.",18.0968725494445,0.0044049754366672,-0.208608942524691,0.0269713733606679,"n.s.",2.44160044534063e-07,5.44036309756914e-06,"sig",0.0461762775997639,0.0881037453117628,17.9551844785947,0.153411881913566,"n.s.",0.00118206198926029,-0.350297013374455,0.00794136427313382,"n.s.",0.00709619895063084,-0.141688070849764,0.0311309122045845,"n.s.",0.000443649040325623,0.579092441272952,18.4461731745559,0.00959917745265245,"n.s.",0.085202008401348,0.140691682586734,0.199444037833645,"n.s.",0.00271966164659864,0.349300625111425,0.0203015548858818,"n.s.",0.00103232196251393,0.490988695961189,0.0162043274405363,"n.s.",0.000807283120589715,0.428652994851966,18.2957337281349,0.0106802836065519,"n.s.",0.8689150520277,-0.0097477638342518,0.903137380311111,"n.s.",0.0116960996351989,0.198861178690439,0.0787078191879711,"n.s.",0.00252807139006721,0.340549249540203,0.0303932639532016,"n.s.",0.0900829361687104,-0.150439446420986,0.224714462404018,"n.s.",2,17.8328118606382,17.8777692547419,17.8906610844689,18.237367963054,18.3417421289597,18.3373343838939,18.1061825152289,18.1105596462012,18.0738754869034,17.9679376048658,17.9062258265588,17.9913900043596,18.4020049283979,18.5490048213899,18.38750977388,18.2834140375565,18.3768214989613,18.2269656478869,"ER.Membrane"
"2","sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS_HUMAN Neuroblastoma-amplified sequence",0.000287962046888178,0.404213513626743,19.1233424529148,0.00450330092851249,"n.s.",0.000689717879132496,0.272622415249014,19.5275559665415,0.0126188975171485,"n.s.",19.3959648681638,0.0155620561729773,-0.131591098377729,0.0520933445868406,"n.s.",5.9290801087518e-08,2.19635361278575e-06,"sig",0.468965105535621,-0.0174596428695573,19.1058828100452,0.62065891673402,"n.s.",9.32342378683558e-05,-0.421673156496301,0.00280507273018144,"n.s.",0.000117486580876364,-0.290082058118571,0.00656927325334161,"n.s.",0.000685441393707511,0.37017831746639,19.4935207703812,0.0106351076976555,"n.s.",0.461712002007359,-0.0340351961603531,0.600124349977548,"n.s.",0.0607101685951426,0.0975559022173762,0.122766690297991,"n.s.",0.000290429786622487,0.387637960335947,0.0103955083935666,"n.s.",0.00131755757745774,0.307121634332052,19.4304640872469,0.0121244565486456,"n.s.",0.0782804828635746,-0.0970918792946911,0.149812212441849,"n.s.",0.404172444398331,0.0344992190830382,0.569279961489759,"n.s.",0.000529589710565034,0.324581277201609,0.0191395013080424,"n.s.",0.237361190485316,-0.063056683134338,0.396069756758578,"n.s.",5,19.0991916291942,19.1662580086201,19.1045777209301,19.4823118544266,19.5266825674919,19.5736734777062,19.4192378107711,19.410484773599,19.3581720201214,19.1014625754056,19.102731456925,19.1134543978052,19.4939500122079,19.5495831351179,19.4370291638178,19.4047596176797,19.4935774154533,19.3930552286075,"ER.Membrane.associated"
"3","sp|O00264|PGRC1_HUMAN","PGRMC1","PGRC1_HUMAN Membrane-associated progesterone receptor component 1",0.747671790380714,0.0349392609399857,18.3111384656692,0.797023507479585,"n.s.",0.0242429227972611,0.364665516878201,18.3460777266092,0.0730120952334178,"n.s.",18.6758039825474,0.0206950674262186,0.329726255938215,0.0610999043818163,"n.s.",0.000178027956230061,0.000509636548362272,"sig",0.229758264236577,-0.141519534937427,18.1696189307318,0.391540319761413,"n.s.",0.106490260047199,-0.176458795877412,0.163769530695316,"n.s.",0.00440457256448028,-0.506185051815628,0.0248192742825085,"n.s.",0.031568752308212,0.384937231863425,18.6960756975327,0.0737433506806124,"n.s.",0.0302182799451424,0.34999797092344,0.108416310674854,"n.s.",0.860576424659124,0.0202717149852241,0.900059373381795,"n.s.",0.00742983673725322,0.526456766800852,0.0392483443330658,"n.s.",0.00913553766956302,0.382335505475261,18.6934739711445,0.0295426179919968,"n.s.",0.00483243141054347,0.347396244535275,0.0270231154935615,"n.s.",0.79819277694407,0.0176699885970599,0.87528003495791,"n.s.",0.000897009674426778,0.523855040412688,0.021958150272206,"n.s.",0.977608426536695,-0.00260172638816414,0.988410398573954,"n.s.",2,18.4053902839065,18.1504445177937,18.3775805953075,18.2845323560676,18.2850959636904,18.4686048600697,18.5471818858245,18.7325090172521,18.7477210445658,18.2489345948286,18.2054219301651,18.0545002672017,18.652431952065,18.5720712959833,18.8637238445497,18.6940539708363,18.6842557193371,18.7021122232602,"ER.Membrane"
"4","sp|O00469-2|PLOD2_HUMAN","PLOD2","PLOD2_HUMAN Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",0.000183557032226806,0.482783309835074,16.1281050420038,0.00376703208582111,"n.s.",0.0116918381108661,0.408846314464022,16.6108883518388,0.0477201916792019,"n.s.",16.5369513564678,0.490604840892647,-0.0739369953710529,0.591259636431623,"n.s.",3.861870411879e-05,0.000156134419721738,"sig",0.0765844531279672,0.0470382048339637,16.1751432468377,0.202550670990389,"n.s.",0.000257163891226889,-0.435745105001111,0.00413065144526225,"n.s.",0.0174917612749348,-0.361808109630058,0.0523076029649538,"n.s.",0.00276748286123851,0.428787699858461,16.5568927418622,0.0175706840822762,"n.s.",0.492835713109135,-0.0539956099766137,0.6285296529892,"n.s.",0.866845744340005,0.0199413853944392,0.904296170464647,"n.s.",0.00416897790302769,0.381749495024497,0.0291385990934494,"n.s.",0.000651326282400113,0.390770273880918,16.5188753158847,0.00974674257948628,"n.s.",0.141093111391907,-0.0920130359541567,0.228798596776971,"n.s.",0.864315593579135,-0.0180760405831037,0.919888046413051,"n.s.",0.00101418948395879,0.343732069046954,0.0225134871588905,"n.s.",0.634138733961651,-0.038017425977543,0.745102238267226,"n.s.",5,16.0985895498016,16.1427632994233,16.1429622767864,16.5457679909282,16.6537543603338,16.6331427042545,16.3539095385088,16.639490179598,16.6174543512965,16.1689968403957,16.2005147947554,16.155918105362,16.6035068295603,16.6359134961812,16.4312578998452,16.4858231046314,16.4764819838534,16.5943208591692,"ER.Lumen"
"5","sp|O00767|ACOD_HUMAN","SCD","ACOD_HUMAN Acyl-CoA desaturase",0.445203215043237,0.0636161470988768,18.0021155726276,0.525327385140606,"n.s.",0.31164156203149,-0.134119303113255,18.0657317197265,0.428362601614248,"n.s.",17.8679962695143,0.166392950102412,-0.197735450212132,0.258102856649305,"n.s.",9.6965518240988e-07,1.28859781752093e-05,"sig",0.000175211043525133,-0.864719183149248,17.1373963894783,0.0349205674050977,"down",0.000149637683520721,-0.928335330248125,0.0032879385672751,"down",0.00269110086241988,-0.730599880035992,0.0195228333066862,"down",0.1367015262903,-0.286097009297553,17.71601856333,0.217086995088292,"n.s.",0.0867938875142805,-0.34971315639643,0.201244963192087,"n.s.",0.441772877284237,-0.151977706184297,0.543711247999465,"n.s.",0.0180927884521441,0.578622173851695,0.0649463726695342,"n.s.",0.000104104920323542,-1.12776995970265,16.8743456129249,0.00709229727307625,"down",9.20894155702601e-05,-1.19138610680153,0.00593276050092317,"down",0.00101412713064624,-0.993650656589399,0.0366065457577241,"down",0.0147194068250446,-0.263050776553406,0.0646715524477685,"n.s.",0.0054388621052869,-0.841672950405101,0.0648614400362887,"n.s.",3,18.0038708070197,18.0911656212899,17.9113102895732,17.9843458978614,18.1689322957312,18.0439169655869,18.0645100401877,17.8268008614267,17.7126779069287,17.2045337183406,17.0742599592738,17.1333954908206,17.8678253116235,17.8540077107837,17.4262226675829,16.784357975142,16.8751294507928,16.9635494128401,"ER.Membrane"
"6","sp|O14656|TOR1A_HUMAN","TOR1A","TOR1A_HUMAN Torsin-1A",0.00306824585158418,0.285824873191576,18.2935645369737,0.0138730261812684,"n.s.",0.0019342164747046,0.270049306981793,18.5793894101653,0.0189176584910465,"n.s.",18.5636138439555,0.775421680769524,-0.0157755662097827,0.830788919363877,"n.s.",5.83223532069275e-05,0.000214973002150161,"sig",0.511104094275439,-0.0169532392592053,18.2766112977145,0.654279474464476,"n.s.",0.00210924696153217,-0.302778112450781,0.0111124504364455,"n.s.",0.00121080014249524,-0.287002546240998,0.0138917763970357,"n.s.",0.000274547101656378,0.327527138343303,18.621091675317,0.00870182177282007,"n.s.",0.406153641691604,0.0417022651517271,0.549480172176703,"n.s.",0.201451330528518,0.0574778313615099,0.29598463957425,"n.s.",0.00013789170352593,0.344480377602508,0.00749441369767819,"n.s.",0.0166123852763336,0.316227796554504,18.6097923335282,0.0430904190515664,"n.s.",0.745514814132528,0.0304029233629279,0.806355526972184,"n.s.",0.611262951702782,0.0461784895727106,0.743170361998438,"n.s.",0.0133462629175471,0.333181035813709,0.0613267019763349,"n.s.",0.894393815195056,-0.0112993417887992,0.93012285309345,"n.s.",5,18.2899244636678,18.2627190061608,18.3280501410926,18.5218055893055,18.6574498362425,18.5589128049478,18.6270735002763,18.5229606128562,18.540807418734,18.2727512283543,18.2546029183419,18.3024797464473,18.6171370970227,18.6568087915284,18.5893291374,18.5992453321887,18.7489505684142,18.4811810999818,"ER.Membrane.associated"
"7","sp|O14657|TOR1B_HUMAN","TOR1B","TOR1B_HUMAN Torsin-1B",0.000127637382187072,0.221185625086747,15.4136037295575,0.00323293488984093,"n.s.",0.0889415100608841,0.144235734888063,15.6347893546442,0.174093900307418,"n.s.",15.5578394644456,0.307054061498594,-0.0769498901986836,0.415125324475859,"n.s.",0.00027036551648394,0.000704376446681456,"sig",0.00108010852458703,0.0739500351817188,15.4875537647392,0.0470361084505945,"n.s.",0.000718329542138999,-0.147235589905028,0.00650005984161503,"n.s.",0.337861354019063,-0.0702856997063446,0.437037155231555,"n.s.",0.0277553317652849,0.153863817892777,15.5674675474503,0.0678374644836469,"n.s.",0.227986746024468,-0.0673218071939701,0.370378815848808,"n.s.",0.908350625849468,0.00962808300471352,0.934848786145128,"n.s.",0.155205494473932,0.0799137827110581,0.276164204667366,"n.s.",3.74222787881045e-05,0.330210610604579,15.7438143401621,0.00452742497331374,"n.s.",0.00663203296501052,0.109024985517832,0.0320924030752492,"n.s.",0.0482034556672251,0.185974875716516,0.155188420282261,"n.s.",0.000114870762709924,0.256260575422861,0.0147443462554062,"n.s.",0.0210434737175242,0.176346792711803,0.107679822410133,"n.s.",5,15.4219846741229,15.415498784523,15.4033277300266,15.6071377028364,15.6436836104861,15.6535467506102,15.6808796669194,15.5284257230674,15.4642130033499,15.4905639971589,15.4976191638599,15.4744781331989,15.5534970882101,15.6517593410296,15.497146213111,15.7689658228988,15.7151253466319,15.7473518509555,"ER.Lumen"
"8","sp|O14672|ADA10_HUMAN","ADAM10","ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10",0.00279087995744928,0.466864816960019,16.6987565034492,0.0131490822796518,"n.s.",0.00584148794766898,0.275074306133735,17.1656213204092,0.0335493347127118,"n.s.",16.9738308095829,0.0574668902384408,-0.191790510826284,0.119385299138885,"n.s.",0.000181728424845878,0.000516101760451135,"sig",0.0012104398211934,0.325140333335838,17.023896836785,0.0470361084505945,"n.s.",0.0943919724398702,-0.141724483624181,0.148832460934054,"n.s.",0.301401017154838,0.050066027202103,0.399285612131588,"n.s.",0.00979094896042893,0.381372754828266,17.0801292582774,0.0342467964174559,"n.s.",0.428055799933131,-0.0854920621317525,0.569364166562761,"n.s.",0.27235449064576,0.106298448694531,0.37332217068858,"n.s.",0.505686015621191,0.0562324214924281,0.631787734946627,"n.s.",0.00164868153796278,0.524453134827969,17.2232096382771,0.0128524495569034,"n.s.",0.541484910357622,0.0575883178679497,0.633600299855922,"n.s.",0.0245509874748336,0.249378828694233,0.111590262855321,"n.s.",0.0341490366220353,0.19931280149213,0.101200670029402,"n.s.",0.209603745772993,0.143080379999702,0.367333353399328,"n.s.",5,16.7404705658421,16.6296019587921,16.7261969857133,17.0583214131816,17.1652734769193,17.2732690711267,17.0348114068372,16.9049886445275,16.981692377384,17.0606440346325,16.9967378507324,17.0143086249902,17.1720750973377,17.1359243911697,16.9323882863249,17.1036438896891,17.2722745843584,17.2937104407839,"ER.Membrane"
"9","sp|O15173-2|PGRC2_HUMAN","PGRMC2","PGRC2_HUMAN Isoform 2 of Membrane-associated progesterone receptor component 2",0.117509302841585,0.140905857621242,16.7505634731723,0.18015458818988,"n.s.",0.0734969399399104,0.176490489951558,16.8914693307936,0.153765041660377,"n.s.",16.9270539631239,0.337840364268165,0.0355846323303162,0.447259289483452,"n.s.",1.07472338622537e-05,6.48004629721034e-05,"sig",0.870581988108741,-0.0121364953919674,16.7384269777803,0.919939283922359,"n.s.",0.00330045162846423,-0.153042353013209,0.0143625380337059,"n.s.",0.0035379648591406,-0.188626985343525,0.0221249191342508,"n.s.",0.00908929874564562,0.426799660254254,17.1773631334266,0.0329846450689098,"n.s.",0.00994967056047105,0.285893802633012,0.0591775854629048,"n.s.",0.0180301584924611,0.250309170302696,0.0556587236379256,"n.s.",0.00196971960773943,0.438936155646221,0.0200593266581986,"n.s.",0.00456005799445118,0.413618852389522,17.1641823255618,0.0203980858363111,"n.s.",0.000812408596179126,0.27271299476828,0.0122211821054662,"n.s.",0.00254969073685585,0.237128362437964,0.0479571204009285,"n.s.",0.000105181285725426,0.425755347781489,0.0139123776636299,"n.s.",0.845448065268921,-0.0131808078647317,0.899162562735529,"n.s.",2,16.7681261323159,16.6246202556767,16.8589440315243,16.85339957928,16.912006867121,16.9090015459796,16.9785765399756,16.8898841259631,16.9127012234329,16.7089599203664,16.7599701761969,16.7463508367777,17.2012339071724,17.2655145087483,17.065340984359,17.1264291354025,17.2063498144505,17.1597680268325,"ER.Membrane"
"10","sp|O15269|SPTC1_HUMAN","SPTLC1","SPTC1_HUMAN Serine palmitoyltransferase 1",0.000105066553159163,0.678825523836174,16.475547892747,0.00295075182407526,"up",7.42211281177592e-06,0.605786967017586,17.1543734165832,0.00334036911837077,"up",17.0813348597646,0.20541774741693,-0.0730385568185881,0.304301671817082,"n.s.",3.22954459203621e-09,3.04496572460864e-07,"sig",0.279584671486171,0.0287075962989505,16.504255489046,0.43976161780424,"n.s.",0.000194985351524335,-0.650117927537224,0.00369226255106944,"down",4.40103865037296e-05,-0.577079370718636,0.0058268529434664,"n.s.",0.000211121021464141,0.436771826662827,16.9123197194099,0.00819264326319541,"n.s.",0.0120653133466372,-0.242053697173347,0.0659701140779867,"n.s.",0.0125314366580379,-0.169015140354759,0.0441318033702854,"n.s.",0.000555299295721578,0.408064230363877,0.0129471581923007,"n.s.",0.000144703941331821,0.65339762124308,17.1289455139901,0.00769951684015231,"up",0.710219428339442,-0.0254279025930941,0.777228683856697,"n.s.",0.396089303008706,0.0476106542254939,0.560822575692714,"n.s.",0.000261074057167992,0.62469002494413,0.0167037268702994,"up",0.0191878491698602,0.216625794580253,0.103670357365325,"n.s.",5,16.4696820872386,16.482381519177,16.4745800718256,17.0701299091325,17.1740702717227,17.2189200688944,17.0497780451825,17.1181164219274,17.076110112184,16.5328338097848,16.4594724421844,16.5204602151688,16.9030543260749,16.9748991021192,16.8590057300354,17.0536024768655,17.1208354497378,17.2123986153671,"ER.Membrane"
