X_ER,X_ER membrane,X_ER membrane-associated,ERGIC,Golgi,Golgi membrane,Golgi membrane-associated,Cis Golgi,Trans Golgi,Lysosome,Mitochondria,Plasma Membrane,Endosome,Peroxisome,Nucleus,Cytosol,ER,ER Lumen,ER high curvature ,ER high sheet,ER Membrane,ER Membrane-associated,ER Receptors
AADAC,AADAC,AGR3,ATP6AP1,A3GALT2,A3GALT2,AP4B1,B3GAT3,AP4B1,ABCA3,AADAT,AAK1,ABHD17C,ABCD2,AATF,AACS,FAM134A,FKBP10,RTN1,CKAP4,ALDH3A2,DHRSX,FAM134A
ABCA4,ABCA4,CALR3,BCAP31,A4GALT,A4GALT,AP4E1,BET1,AP4E1,ABCB9,AARS2,ABCA8,ACAP1,ABCD3,ABITRAM,AAGAB,FAM134B,P4HB,RTN2,KTN1,CISD2,EMC2,FAM134B
ABHD12,ABHD12,CERCAM,CNIH4,A4GNT,A4GNT,AP4M1,COPB1,AP4M1,ACP2,AASS,ABCB1,ACAP2,ABCD4,ABRAXAS1,AANAT,FAM134C,RCN2,RTN3,RRBP1,COMT,KIAA0100,FAM134C
ACER1,ACER1,CES1,COPZ2,ABO,ABO,AP4S1,COPB2,AP4S1,ACP5,ABAT,ABCB5,AMOTL2,ACAA1,ABT1,AARS1,TEX264,TXNDC12,RTN4,,DHCR24,LAMC1,TEX264
AGMO,AGMO,CES2,DDHD2,ACER2,ACER2,ARF4,COPG1,ARFIP1,AGA,ABCB10,ABCC1,ANKFY1,ACBD5,ACD,AARSD1,SEC62,ALG6,ATL1,,DHRS7B,PRDX4,SEC62
AGPAT1,AGPAT1,CES3,ECPAS,AP4B1,ATP2C1,ARFIP1,COPG2,ARFIP2,ARL8A,ABCB7,ABCC10,ANKRD27,ACOT4,ACIN1,AASDHPPT,CCPG1,ALG8,ATL2,,NCEH1,APOL2,CCPG1
AGPAT2,AGPAT2,CNPY2,ERGIC1,AP4E1,B3GALNT1,ARFIP2,COPZ2,ARFRP1,ARL8B,ABCB8,ABCC2,ANKRD50,ACOT8,ACTL6A,ABI3,RTN1,BTD,ATL3,,RDH11,ADPGK,RETREG3
AGPAT4,AGPAT4,CNPY3,ERGIC2,AP4M1,B3GALNT2,ARFRP1,GBF1,B4GAT1,ARSA,ABHD10,ABCC8,AVL9,ACOX1,ACTL6B,ABLIM3,RTN2,CALR,REEP1,,SPTLC2,ALG2,RETREG1
AGR3,ALDH3A2,COLGALT1,ERGIC3,AP4S1,B3GALT1,ARL17A,GOLGA2,BET1L,ARSB,ACAA2,ABCG5,CCDC154,ACOX2,ACTR8,ABTB1,RTN3,CALU,REEP2,,CANX,AUP1,RETREG2
ALDH3A2,ALG1,COLGALT2,GBF1,ARF4,B3GALT2,ARSE,GOLGA5,C17orf75,ARSD,ACACB,ABCG8,CCDC22,ACOX3,ADAD1,ACACA,RTN4,CCDC134,REEP3,,TMX1,CDK5RAP3,ATL3
ALG1,ALG10,CRELD2,GORASP1,ARFIP1,B3GALT4,BICD1,GOLM1,CCDC91,ARSG,ACAD8,ABHD2,CCDC93,AGPS,ADARB1,ACAT2,ATL1,CNPY2,REEP5,,ABHD12,CHP1,RTN3
ALG10,ALG11,CTSW,LMAN1,ARFIP2,B3GALT5,C17orf75,GORASP1,CHST2,ASAH1,ACAD9,ACVR1B,CHMP1A,CAT,ADARB2,ACBD6,ATL2,COL4A2,REEP4,,ABHD6,CNPY4,
ALG11,ALG12,CYB5R4,LMAN1L,ARFRP1,B3GALT6,CCDC91,GOSR2,EIPR1,ATP13A2,ACADL,ACVR2B,CHMP1B,CROT,ADIG,ACLY,ATL3,COLGALT1,REEP6,,ACSL3,CRELD2,
ALG12,ALG3,CYP17A1,LMAN2,ARL17A,B3GAT1,CERT,MPPE1,FAM91A1,ATP6V0A1,ACADM,ACVRL1,CHMP2A,DAO,ADIRF,ACO1,REEP1,CRTAP,LNP,,ADAM10,CYP2S1,
ALG3,ALG5,CYP1A2,MCFD2,ARSE,B3GAT2,COG1,NUCB1,GCC2,ATP6V0A2,ACADS,ADAM22,CHMP2B,DDO,ADNP,ACOT1,REEP2,DNAJB11,ZFYVE27,,ALG1,DDRGK1,
ALG5,ALG6,CYP21A2,MPPE1,ATP2C1,B3GAT3,COG2,RHBDD2,GCNT1,ATP6V0A4,ACADSB,ADCY5,CHMP4A,DECR2,ADNP2,ACOT12,REEP3,DNAJC10,ARL6IP1,,ALG5,DHRS13,
ALG6,ALG8,CYP26A1,NAT8,B3GALNT1,B3GNT2,COG3,SEC22B,GGA1,ATP6V0B,ACADVL,ADCY6,CHMP6,EHHADH,AEBP2,ACOT6,REEP5,DNAJC3,FAM134A,,ANKLE2,DHRS7,
ALG8,ALG9,CYP26B1,NAT8B,B3GALNT2,B3GNT3,COG4,SYNDIG1L,GGA2,ATP6V0C,ACAT1,ADCY9,CLCN4,EPHX2,AEN,ACOT7L,REEP4,EDEM3,FAM134B,,APMAP,DPM1,
ALG9,AMFR,CYP2A13,PIEZO1,B3GALT1,B3GNT4,COG5,TBC1D14,GGA3,ATP6V0D1,ACO2,ADCYAP1R1,CLCN6,FAR1,AFF1,ACP1,REEP6,EOGT,FAM134C,,ASPH,FBLN1,
AMFR,ANKLE2,CYP2A6,PRRG4,B3GALT2,B3GNT5,COG6,TMED1,GOLGA1,ATP6V0D2,ACOD1,ADGRA2,DENND10,FAR2,AFF2,ACSS2,LNP,ERAP1,RETREG3,,ATF6,GHDC,
ANKLE2,ARL6IP1,CYP2A7,PTPN2,B3GALT4,B3GNT6,COG7,TMED10,GOLGA4,ATP6V0E1,ACOT11,ADGRB2,DENND10P1,GNPAT,AFF3,ACY1,ZFYVE27,ERLEC1,RETREG1,,ATP6AP2,GRAMD2B,
ARL6IP1,ARMC10,CYP2B6,RAB2A,B3GALT5,B3GNT7,COG8,TMED2,GOLPH3L,ATP6V0E2,ACOT2,ADGRB3,DENND6A,GSTK1,AFF4,ADH1A,CKAP4,ERO1A,RETREG2,,B3GLCT,HSD17B11,
ARMC10,ARV1,CYP2C18,RAB6B,B3GALT6,B3GNT8,COPA,TMED3,GOPC,ATP6V1A,ACOT9,ADGRD1,DENND6B,HACL1,AHNAK,ADH1B,KTN1,ERP29,ARL6IP5,,BNIP1,HSPA13,
ARV1,ASPH,CYP2C19,SEC22B,B3GAT1,B3GNT9,COPB1,TMED5,GSAP,ATP6V1B1,ACP6,ADGRE1,DNAJC13,HAO1,AHNAK2,ADH1C,RRBP1,FKBP14,,,C16orf58,LAMB1,
ASPH,ATL1,CYP2C8,SLC35C2,B3GAT2,B4GALNT1,COPB2,TMED7,IMPAD1,ATP6V1B2,ACSF2,ADGRE2,EEA1,HAO2,AK6,ADH4,ARL6IP1,FKBP2,,,CCDC47,LOXL2,
ATL1,ATL2,CYP2C9,STX5,B3GAT3,B4GALNT2,COPE,TMED9,NAGPA,ATP6V1C1,ACSF3,ADGRF5,EHBP1L1,HSD17B4,AKAP17A,ADH5,PTPN2,FKBP9,,,CDKAL1,LRPAP1,
ATL2,ATL3,CYP2D6,SURF4,B3GNT2,B4GALNT3,COPG1,TRAPPC1,OSBPL11,ATP6V1C2,ACSM1,ADGRG2,EHD1,HSDL2,AKIP1,ADH6,RAB18,FNDC3A,,,CYP20A1,LSG1,
ATL3,ATP10B,CYP2F1,TM6SF2,B3GNT3,B4GALNT4,COPG2,TRAPPC10,OSBPL9,ATP6V1D,ACSM2A,ADGRG3,EHD2,IDI1,AKIRIN1,ADH7,SEC22B,FNDC3B,,,CYP51A1,LSS,
ATP10B,ATP13A1,CYP2J2,TMED1,B3GNT4,B4GALT1,COPZ1,TRAPPC11,PACS1,ATP6V1E1,ACSM2B,ADGRG5,EHD3,IDI2,AKIRIN2,ADSS1,FKBP10,GANAB,,,DDOST,METTL7A,
ATP13A1,ATP2A1,CYP2R1,TMED10,B3GNT5,B4GALT2,COPZ2,TRAPPC3,PCSK7,ATP6V1E2,ACSM3,ADGRG6,EHD4,LACC1,ALKBH2,AFAP1L2,P4HB,HSP90B1,,,DNAJB12,NBAS,
ATP2A1,ATP2A2,CYP2S1,TMED2,B3GNT6,B4GALT3,DAOA,TRAPPC3L,SGSM1,ATP6V1F,ACSM4,ADGRL1,FIG4,LONP2,ALKBH5,AFTPH,RCN2,HSPA5,,,DNAJB14,OS9,
ATP2A2,ATP8B3,CYP39A1,TMED3,B3GNT7,B4GALT4,DENND4B,TRAPPC4,SLC24A5,ATP6V1G1,ACSM5,ADGRL3,FKBP15,MARF1,ALPK3,AGAP1,TXNDC12,HYOU1,,,DNAJC1,PCYOX1,
ATP8B3,AUP1,CYP3A43,TMED5,B3GNT8,B4GALT5,DENND5A,TRAPPC5,SLC30A5,ATP6V1G2,ACSM6,ADGRL4,FYCO1,MPV17L,ALX1,AGBL1,ALG6,IKBIP,,,EIF2AK3,PKMYT1,
AUP1,AWAT1,CYP3A5,TMED7,B3GNT9,B4GALT6,DOP1A,TRAPPC6A,SLC30A6,ATP6V1G3,ACSS1,ADGRV1,GRIPAP1,NUDT19,ALX3,AGBL3,ALG8,KDELC1,,,EMC1,PON2,
AWAT1,AWAT2,CYP3A7,TMED9,B4GALNT1,B4GALT7,DOP1B,TRAPPC6B,SLC30A7,ATP6V1H,ACSS3,ADIPOR1,HGS,NUDT7,ALX4,AHCY,BTD,KDELC2,,,EMC7,PTPN1,
AWAT2,B3GLCT,CYP4A11,TMEM199,B4GALNT2,B4GAT1,EIPR1,TRAPPC8,STX11,BORCS8,ADHFE1,ADIPOR2,INPP5F,PAOX,AMMECR1,AHSP,CALR,LGALS3BP,,,EMD,RETSAT,
B3GLCT,BCAP29,CYP4A22,TRAPPC12,B4GALNT3,BET1,FAM91A1,TRAPPC9,TBC1D23,C10orf32,AFG1L,ADORA1,KIDINS220,PECR,ANAPC13,AIP,CALU,MANF,,,EPHX1,RINT1,
BCAP29,BFAR,CYP4B1,TRAPPC2,B4GALNT4,BET1L,FHDC1,YIPF3,TMEM165,C12orf66,AFG3L2,ADORA2A,LDLRAD4,PEX1,ANHX,AK1,CCDC134,MESD,,,ERLIN1,SCFD2,
BFAR,BSCL2,CYP4F2,UGGT1,B4GALT1,CASD1,GANAB,YIPF4,TMEM230,C17orf59,AGK,ADORA2B,3-Mar,PEX10,ANKRD1,AK5,CNPY2,MINPP1,,,ERLIN2,SERPINI1,
BSCL2,CANX,CYP4F22,UGGT2,B4GALT2,CHPF2,GBF1,YIPF5,TMEM79,C18orf8,AGMAT,ADORA3,MIB2,PEX11A,ANKRD11,AK8,COL4A2,MTDH,,,GPX8,SQLE,
CALR3,CCDC47,DDRGK1,VMA21,B4GALT3,CHPT1,GCC1,YIPF7,VPS41,C1orf85,AGXT2,ADRA1D,MICALL1,PEX11B,ANKRD12,AKAP14,COLGALT1,MYDGF,,,HMOX1,SRP54,
CANX,CCPG1,DHDDS,VMP1,B4GALT4,CHST1,GCC2,ZFPL1,VPS45,CCZ1,AK2,ADRA2A,MITD1,PEX11G,ANKRD23,AKR1B1,CRTAP,NENF,,,HMOX2,SRP68,
CCDC47,CDC14C,DHRS9,,B4GALT5,CHST10,GGA1,,VPS51,CCZ1B,AK3,ADRA2C,MTMR2,PEX12,ANKRD28,AKR1C1,DNAJB11,NFXL1,,,ILVBL,SRP72,
CCPG1,CDKAL1,DNAJB11,,B4GALT6,CHST11,GGA2,,VPS52,CD63,AK4,ADRB3,MVB12B,PEX13,ANKRD31,AKR1C2,DNAJC10,NPTX1,,,ITGB1,SRPRA,
CDC14C,CDS1,DNAJB9,,B4GALT7,CHST12,GGA3,,VPS53,CLCN3,AKAP1,ADTRP,OCIAD1,PEX14,ANKRD49,AKR1C3,DNAJC3,P3H1,,,LPCAT1,TGFB1,
CDKAL1,CERS1,DNAJC10,,B4GAT1,CHST13,GKAP1,,VPS54,CLCN7,ALAS1,AGTR1,OCIAD2,PEX16,APOBEC3B,AKR1C4,EDEM3,P3H4,,,LPCAT2,THEM6,
CDS1,CERS2,DNAJC3,,BET1,CHST14,GLIPR2,,YIPF1,CLN3,ALAS2,AGTR2,PIK3C3,PEX19,AQR,AKR1C8P,EOGT,P4HA1,,,LRRC59,TOR1A,
CERCAM,CERS3,DNASE1L1,,BET1L,CHST15,GNPNAT1,,YIPF2,CLN5,ALDH18A1,AIG1,PIK3R4,PEX2,ARGFX,AKR1D1,ERAP1,P4HA2,,,MIA3,TOR2A,
CERS1,CERS4,DPM1,,BICD1,CHST2,GNPTG,,YIPF6,CTBS,ALDH1B1,AJAP1,PIKFYVE,PEX26,ARGLU1,AKR1E2,ERLEC1,PDIA3,,,MLEC,TYW1,
CERS2,CERS5,EDEM2,,C17orf75,CHST3,GOLGA1,,,CTNS,ALDH1L2,AJM1,PLEKHB2,PEX3,ARHGAP19,AKR7A3,ERO1A,PDIA4,,,MOGS,UBE2G2,
CERS3,CERS6,EDEM3,,CASD1,CHST4,GOLGA2,,,CTSA,ALDH2,AKAP7,PLIN3,PEX5,ARHGAP39,AKT1S1,ERP29,PDIA5,,,MOSPD2,UBXN4,
